dd/MM/yyyy HH:mm:ss;CTC4G,16
26/02/2021 16:08:55;9,00
26/02/2021 16:08:57;12,00
26/02/2021 16:08:59;14,00
26/02/2021 16:09:01;7,00
26/02/2021 16:09:03;12,00
26/02/2021 16:09:05;10,00
26/02/2021 16:09:07;0,00
26/02/2021 16:09:11;12,00
26/02/2021 16:09:13;6,00
26/02/2021 16:09:15;8,00
26/02/2021 16:09:17;10,00
26/02/2021 16:09:19;0,00
26/02/2021 16:09:21;1,00
26/02/2021 16:09:23;8,00
26/02/2021 16:09:25;4,00
26/02/2021 16:09:27;10,00
26/02/2021 16:09:29;14,00
26/02/2021 16:09:31;8,00
26/02/2021 16:09:35;5,00
26/02/2021 16:09:37;14,00
26/02/2021 16:09:39;2,00
26/02/2021 16:09:43;1,00
26/02/2021 16:09:45;2,00
26/02/2021 16:09:47;1,00
26/02/2021 16:09:49;8,00
26/02/2021 16:09:51;5,00
26/02/2021 16:09:53;4,00
26/02/2021 16:09:55;8,00
26/02/2021 16:09:57;13,00
26/02/2021 16:10:01;0,00
26/02/2021 16:10:03;2,00
26/02/2021 16:10:05;6,00
26/02/2021 16:10:07;3,00
26/02/2021 16:10:09;14,00
26/02/2021 16:10:11;2,00
26/02/2021 16:10:13;10,00
26/02/2021 16:10:15;6,00
26/02/2021 16:10:17;10,00
26/02/2021 16:10:19;3,00
26/02/2021 16:10:21;8,00
26/02/2021 16:10:23;13,00
26/02/2021 16:10:25;3,00
26/02/2021 16:10:27;2,00
26/02/2021 16:10:29;0,00
26/02/2021 16:10:31;9,00
26/02/2021 16:10:33;1,00
26/02/2021 16:10:35;12,00
26/02/2021 16:10:39;9,00
26/02/2021 16:10:44;13,00
26/02/2021 16:10:46;14,00
26/02/2021 16:10:48;10,00
26/02/2021 16:10:50;13,00
26/02/2021 16:10:52;0,00
26/02/2021 16:10:54;14,00
26/02/2021 16:10:56;4,00
26/02/2021 16:10:58;3,00
26/02/2021 16:11:00;12,00
26/02/2021 16:11:02;1,00
26/02/2021 16:11:04;4,00
26/02/2021 16:11:06;2,00
26/02/2021 16:11:08;14,00
26/02/2021 16:11:10;2,00
26/02/2021 16:11:12;14,00
26/02/2021 16:11:14;8,00
26/02/2021 16:11:16;5,00
26/02/2021 16:11:18;14,00
26/02/2021 16:11:22;5,00
26/02/2021 16:11:24;14,00
26/02/2021 16:11:28;2,00
26/02/2021 16:11:30;11,00
26/02/2021 16:11:34;14,00
26/02/2021 16:11:36;4,00
26/02/2021 16:11:38;8,00
26/02/2021 16:11:40;14,00
26/02/2021 16:11:42;5,00
26/02/2021 16:11:44;12,00
26/02/2021 16:11:46;8,00
26/02/2021 16:11:48;3,00
26/02/2021 16:11:50;2,00
26/02/2021 16:11:52;9,00
26/02/2021 16:11:54;14,00
26/02/2021 16:11:56;10,00
26/02/2021 16:11:58;9,00
26/02/2021 16:12:00;6,00
26/02/2021 16:12:02;7,00
26/02/2021 16:12:04;0,00
26/02/2021 16:12:06;13,00
26/02/2021 16:12:08;5,00
26/02/2021 16:12:10;11,00
26/02/2021 16:12:12;4,00
26/02/2021 16:12:14;2,00
26/02/2021 16:12:16;11,00
26/02/2021 16:12:18;6,00
26/02/2021 16:12:20;0,00
26/02/2021 16:12:22;10,00
26/02/2021 16:12:24;0,00
26/02/2021 16:12:26;3,00
26/02/2021 16:12:28;0,00
26/02/2021 16:12:30;14,00
26/02/2021 16:12:32;7,00
26/02/2021 16:12:34;1,00
26/02/2021 16:12:36;7,00
26/02/2021 16:12:38;10,00
26/02/2021 16:12:40;14,00
26/02/2021 16:12:42;0,00
26/02/2021 16:12:44;10,00
26/02/2021 16:12:46;7,00
26/02/2021 16:12:48;11,00
26/02/2021 16:12:50;4,00
26/02/2021 16:12:52;2,00
26/02/2021 16:12:54;7,00
26/02/2021 16:12:56;3,00
26/02/2021 16:12:58;0,00
26/02/2021 16:13:00;13,00
26/02/2021 16:13:02;10,00
26/02/2021 16:13:04;8,00
26/02/2021 16:13:06;12,00
26/02/2021 16:13:08;8,00
26/02/2021 16:13:10;13,00
26/02/2021 16:13:12;11,00
26/02/2021 16:13:16;12,00
26/02/2021 16:13:18;7,00
26/02/2021 16:13:21;14,00
26/02/2021 16:13:22;7,00
26/02/2021 16:13:25;9,00
26/02/2021 16:13:27;1,00
26/02/2021 16:13:29;5,00
26/02/2021 16:13:31;0,00
26/02/2021 16:13:33;7,00
26/02/2021 16:13:35;9,00
26/02/2021 16:13:37;1,00
26/02/2021 16:13:39;2,00
26/02/2021 16:13:41;0,00
26/02/2021 16:13:43;10,00
26/02/2021 16:13:45;2,00
26/02/2021 16:13:47;13,00
26/02/2021 16:13:49;12,00
26/02/2021 16:13:51;0,00
26/02/2021 16:13:53;5,00
26/02/2021 16:13:55;10,00
26/02/2021 16:13:57;0,00
26/02/2021 16:13:59;12,00
26/02/2021 16:14:01;1,00
26/02/2021 16:14:03;11,00
26/02/2021 16:14:05;12,00
26/02/2021 16:14:07;7,00
26/02/2021 16:14:09;13,00
26/02/2021 16:14:11;12,00
26/02/2021 16:14:13;6,00
26/02/2021 16:14:15;1,00
26/02/2021 16:14:19;3,00
26/02/2021 16:14:21;13,00
26/02/2021 16:14:23;12,00
26/02/2021 16:14:25;3,00
26/02/2021 16:14:27;8,00
26/02/2021 16:14:29;2,00
26/02/2021 16:14:31;11,00
26/02/2021 16:14:33;5,00
26/02/2021 16:14:35;6,00
26/02/2021 16:14:37;10,00
26/02/2021 16:14:39;14,00
26/02/2021 16:14:41;6,00
26/02/2021 16:14:43;1,00
