dd/MM/yyyy HH:mm:ss;CHC1B,16
26/02/2021 16:08:47;67,00
26/02/2021 16:08:49;45,00
26/02/2021 16:08:59;63,00
26/02/2021 16:09:01;74,00
26/02/2021 16:09:03;86,00
26/02/2021 16:09:07;76,00
26/02/2021 16:09:09;48,00
26/02/2021 16:09:11;75,00
26/02/2021 16:09:13;51,00
26/02/2021 16:09:19;60,00
26/02/2021 16:09:21;73,00
26/02/2021 16:09:27;55,00
26/02/2021 16:09:29;57,00
26/02/2021 16:09:35;71,00
26/02/2021 16:09:41;79,00
26/02/2021 16:09:47;87,00
26/02/2021 16:09:57;50,00
26/02/2021 16:09:59;41,00
26/02/2021 16:10:03;80,00
26/02/2021 16:10:09;72,00
26/02/2021 16:10:11;76,00
26/02/2021 16:10:25;53,00
26/02/2021 16:10:27;49,00
26/02/2021 16:10:35;83,00
26/02/2021 16:10:37;41,00
26/02/2021 16:10:39;64,00
26/02/2021 16:10:46;41,00
26/02/2021 16:10:48;48,00
26/02/2021 16:10:52;65,00
26/02/2021 16:10:54;85,00
26/02/2021 16:10:56;69,00
26/02/2021 16:10:58;43,00
26/02/2021 16:11:02;61,00
26/02/2021 16:11:04;82,00
26/02/2021 16:11:06;70,00
26/02/2021 16:11:08;82,00
26/02/2021 16:11:12;58,00
26/02/2021 16:11:16;47,00
26/02/2021 16:11:18;63,00
26/02/2021 16:11:22;62,00
26/02/2021 16:11:24;89,00
26/02/2021 16:11:28;88,00
26/02/2021 16:11:34;70,00
26/02/2021 16:11:36;85,00
26/02/2021 16:11:38;56,00
26/02/2021 16:11:44;73,00
26/02/2021 16:11:46;77,00
26/02/2021 16:11:50;71,00
26/02/2021 16:11:52;62,00
26/02/2021 16:11:54;78,00
26/02/2021 16:11:58;48,00
26/02/2021 16:12:04;47,00
26/02/2021 16:12:10;79,00
26/02/2021 16:12:16;65,00
26/02/2021 16:12:18;77,00
26/02/2021 16:12:20;49,00
26/02/2021 16:12:22;71,00
26/02/2021 16:12:24;50,00
26/02/2021 16:12:28;82,00
26/02/2021 16:12:32;41,00
26/02/2021 16:12:36;52,00
26/02/2021 16:12:44;81,00
26/02/2021 16:12:46;64,00
26/02/2021 16:12:48;48,00
26/02/2021 16:12:50;77,00
26/02/2021 16:12:52;70,00
26/02/2021 16:12:54;50,00
26/02/2021 16:12:56;81,00
26/02/2021 16:12:58;83,00
26/02/2021 16:13:02;85,00
26/02/2021 16:13:06;74,00
26/02/2021 16:13:16;71,00
26/02/2021 16:13:22;51,00
26/02/2021 16:13:25;60,00
26/02/2021 16:13:27;61,00
26/02/2021 16:13:31;52,00
26/02/2021 16:13:33;83,00
26/02/2021 16:13:39;82,00
26/02/2021 16:13:41;81,00
26/02/2021 16:13:45;57,00
26/02/2021 16:13:49;73,00
26/02/2021 16:13:51;83,00
26/02/2021 16:13:55;48,00
26/02/2021 16:13:57;70,00
26/02/2021 16:13:59;57,00
26/02/2021 16:14:03;55,00
26/02/2021 16:14:05;59,00
26/02/2021 16:14:09;82,00
26/02/2021 16:14:11;76,00
26/02/2021 16:14:13;58,00
26/02/2021 16:14:17;76,00
26/02/2021 16:14:21;85,00
26/02/2021 16:14:29;81,00
26/02/2021 16:14:31;70,00
26/02/2021 16:14:35;55,00
26/02/2021 16:14:39;82,00
26/02/2021 16:14:43;66,00
