dd/MM/yyyy HH:mm:ss;CTC2B,16
26/02/2021 16:10:01;12,00
26/02/2021 16:10:05;8,00
26/02/2021 16:10:07;5,00
26/02/2021 16:10:09;11,00
26/02/2021 16:10:11;2,00
26/02/2021 16:10:15;8,00
26/02/2021 16:10:17;0,00
26/02/2021 16:10:19;11,00
26/02/2021 16:10:23;4,00
26/02/2021 16:10:25;5,00
26/02/2021 16:10:27;9,00
26/02/2021 16:10:29;13,00
26/02/2021 16:10:33;2,00
26/02/2021 16:10:37;10,00
26/02/2021 16:10:39;14,00
26/02/2021 16:10:41;1,00
26/02/2021 16:10:44;6,00
26/02/2021 16:10:46;11,00
26/02/2021 16:10:48;10,00
26/02/2021 16:10:50;9,00
26/02/2021 16:10:52;11,00
26/02/2021 16:10:54;4,00
26/02/2021 16:10:56;9,00
26/02/2021 16:10:58;0,00
26/02/2021 16:11:00;10,00
26/02/2021 16:11:02;4,00
26/02/2021 16:11:04;1,00
26/02/2021 16:11:06;13,00
26/02/2021 16:11:08;3,00
26/02/2021 16:11:10;10,00
26/02/2021 16:11:12;4,00
26/02/2021 16:11:14;11,00
26/02/2021 16:11:16;3,00
26/02/2021 16:11:18;8,00
26/02/2021 16:11:20;4,00
26/02/2021 16:11:22;6,00
26/02/2021 16:11:24;3,00
26/02/2021 16:11:26;0,00
26/02/2021 16:11:28;8,00
26/02/2021 16:11:30;14,00
26/02/2021 16:11:32;9,00
26/02/2021 16:11:34;10,00
26/02/2021 16:11:36;0,00
26/02/2021 16:11:38;4,00
26/02/2021 16:11:40;8,00
26/02/2021 16:11:42;0,00
26/02/2021 16:11:44;4,00
26/02/2021 16:11:46;3,00
26/02/2021 16:11:48;11,00
26/02/2021 16:11:50;4,00
26/02/2021 16:11:52;7,00
26/02/2021 16:11:54;13,00
26/02/2021 16:11:56;7,00
26/02/2021 16:11:58;14,00
26/02/2021 16:12:00;5,00
26/02/2021 16:12:04;12,00
26/02/2021 16:12:06;1,00
26/02/2021 16:12:08;9,00
26/02/2021 16:12:10;6,00
26/02/2021 16:12:12;13,00
26/02/2021 16:12:16;1,00
26/02/2021 16:12:18;6,00
26/02/2021 16:12:20;14,00
26/02/2021 16:12:22;13,00
26/02/2021 16:12:24;10,00
26/02/2021 16:12:26;13,00
26/02/2021 16:12:28;1,00
26/02/2021 16:12:30;2,00
26/02/2021 16:12:32;0,00
26/02/2021 16:12:34;9,00
26/02/2021 16:12:36;5,00
26/02/2021 16:12:38;11,00
26/02/2021 16:12:40;0,00
26/02/2021 16:12:42;9,00
26/02/2021 16:12:44;14,00
26/02/2021 16:12:46;0,00
26/02/2021 16:12:48;1,00
26/02/2021 16:12:50;0,00
26/02/2021 16:12:52;6,00
26/02/2021 16:12:54;13,00
26/02/2021 16:12:56;5,00
26/02/2021 16:12:58;13,00
26/02/2021 16:13:00;3,00
26/02/2021 16:13:02;8,00
26/02/2021 16:13:04;6,00
26/02/2021 16:13:08;13,00
26/02/2021 16:13:10;1,00
26/02/2021 16:13:12;6,00
26/02/2021 16:13:14;8,00
26/02/2021 16:13:16;2,00
26/02/2021 16:13:18;12,00
26/02/2021 16:13:21;1,00
26/02/2021 16:13:22;14,00
26/02/2021 16:13:27;1,00
26/02/2021 16:13:29;4,00
26/02/2021 16:13:31;8,00
26/02/2021 16:13:33;1,00
26/02/2021 16:13:35;3,00
26/02/2021 16:13:37;4,00
26/02/2021 16:13:39;0,00
26/02/2021 16:13:41;4,00
26/02/2021 16:13:43;3,00
26/02/2021 16:13:45;5,00
26/02/2021 16:13:47;12,00
26/02/2021 16:13:49;3,00
26/02/2021 16:13:51;1,00
26/02/2021 16:13:53;12,00
26/02/2021 16:13:55;5,00
26/02/2021 16:13:57;10,00
26/02/2021 16:14:01;7,00
26/02/2021 16:14:03;12,00
26/02/2021 16:14:05;5,00
26/02/2021 16:14:07;1,00
26/02/2021 16:14:09;4,00
26/02/2021 16:14:11;14,00
26/02/2021 16:14:13;9,00
26/02/2021 16:14:15;7,00
26/02/2021 16:14:17;4,00
26/02/2021 16:14:19;3,00
26/02/2021 16:14:21;5,00
26/02/2021 16:14:23;9,00
26/02/2021 16:14:25;11,00
26/02/2021 16:14:27;2,00
26/02/2021 16:14:29;14,00
26/02/2021 16:14:31;4,00
26/02/2021 16:14:33;7,00
26/02/2021 16:14:35;1,00
26/02/2021 16:14:37;7,00
26/02/2021 16:14:39;5,00
26/02/2021 16:14:41;4,00
26/02/2021 16:14:43;9,00
