dd/MM/yyyy HH:mm:ss;CTC4N,16
26/02/2021 16:11:48;13,00
26/02/2021 16:11:50;14,00
26/02/2021 16:11:52;6,00
26/02/2021 16:11:54;12,00
26/02/2021 16:11:56;0,00
26/02/2021 16:11:58;13,00
26/02/2021 16:12:00;7,00
26/02/2021 16:12:02;1,00
26/02/2021 16:12:04;8,00
26/02/2021 16:12:06;1,00
26/02/2021 16:12:08;8,00
26/02/2021 16:12:10;14,00
26/02/2021 16:12:12;8,00
26/02/2021 16:12:14;1,00
26/02/2021 16:12:16;4,00
26/02/2021 16:12:18;5,00
26/02/2021 16:12:20;9,00
26/02/2021 16:12:22;10,00
26/02/2021 16:12:24;8,00
26/02/2021 16:12:26;6,00
26/02/2021 16:12:28;14,00
26/02/2021 16:12:30;11,00
26/02/2021 16:12:32;2,00
26/02/2021 16:12:34;5,00
26/02/2021 16:12:36;6,00
26/02/2021 16:12:38;7,00
26/02/2021 16:12:40;9,00
26/02/2021 16:12:42;3,00
26/02/2021 16:12:44;6,00
26/02/2021 16:12:46;11,00
26/02/2021 16:12:48;5,00
26/02/2021 16:12:50;0,00
26/02/2021 16:12:52;7,00
26/02/2021 16:12:54;5,00
26/02/2021 16:12:58;11,00
26/02/2021 16:13:00;4,00
26/02/2021 16:13:02;1,00
26/02/2021 16:13:04;8,00
26/02/2021 16:13:06;14,00
26/02/2021 16:13:08;4,00
26/02/2021 16:13:10;2,00
26/02/2021 16:13:12;4,00
26/02/2021 16:13:14;0,00
26/02/2021 16:13:16;12,00
26/02/2021 16:13:18;10,00
26/02/2021 16:13:21;5,00
26/02/2021 16:13:22;14,00
26/02/2021 16:13:25;9,00
26/02/2021 16:13:27;0,00
26/02/2021 16:13:29;9,00
26/02/2021 16:13:31;10,00
26/02/2021 16:13:33;12,00
26/02/2021 16:13:35;11,00
26/02/2021 16:13:39;10,00
26/02/2021 16:13:41;14,00
26/02/2021 16:13:43;6,00
26/02/2021 16:13:45;13,00
26/02/2021 16:13:47;8,00
26/02/2021 16:13:49;0,00
26/02/2021 16:13:53;3,00
26/02/2021 16:13:55;6,00
26/02/2021 16:13:57;13,00
26/02/2021 16:13:59;0,00
26/02/2021 16:14:01;9,00
26/02/2021 16:14:03;6,00
26/02/2021 16:14:05;12,00
26/02/2021 16:14:07;3,00
26/02/2021 16:14:09;6,00
26/02/2021 16:14:11;0,00
26/02/2021 16:14:13;14,00
26/02/2021 16:14:15;8,00
26/02/2021 16:14:17;7,00
26/02/2021 16:14:19;10,00
26/02/2021 16:14:21;13,00
26/02/2021 16:14:23;6,00
26/02/2021 16:14:25;9,00
26/02/2021 16:14:27;14,00
26/02/2021 16:14:29;8,00
26/02/2021 16:14:31;6,00
26/02/2021 16:14:33;4,00
26/02/2021 16:14:35;6,00
26/02/2021 16:14:39;14,00
26/02/2021 16:14:41;4,00
26/02/2021 16:14:43;7,00
