dd/MM/yyyy HH:mm:ss;CTC2D,16
26/02/2021 16:12:26;9,00
26/02/2021 16:12:28;14,00
26/02/2021 16:12:32;1,00
26/02/2021 16:12:34;7,00
26/02/2021 16:12:36;10,00
26/02/2021 16:12:38;3,00
26/02/2021 16:12:40;14,00
26/02/2021 16:12:42;13,00
26/02/2021 16:12:44;12,00
26/02/2021 16:12:46;6,00
26/02/2021 16:12:48;5,00
26/02/2021 16:12:50;2,00
26/02/2021 16:12:52;7,00
26/02/2021 16:12:54;4,00
26/02/2021 16:12:56;12,00
26/02/2021 16:12:58;6,00
26/02/2021 16:13:00;9,00
26/02/2021 16:13:02;0,00
26/02/2021 16:13:04;8,00
26/02/2021 16:13:06;9,00
26/02/2021 16:13:10;2,00
26/02/2021 16:13:12;10,00
26/02/2021 16:13:14;14,00
26/02/2021 16:13:16;0,00
26/02/2021 16:13:18;14,00
26/02/2021 16:13:21;9,00
26/02/2021 16:13:22;10,00
26/02/2021 16:13:25;6,00
26/02/2021 16:13:27;13,00
26/02/2021 16:13:29;2,00
26/02/2021 16:13:31;11,00
26/02/2021 16:13:33;4,00
26/02/2021 16:13:35;0,00
26/02/2021 16:13:39;12,00
26/02/2021 16:13:41;10,00
26/02/2021 16:13:43;8,00
26/02/2021 16:13:45;0,00
26/02/2021 16:13:47;1,00
26/02/2021 16:13:49;9,00
26/02/2021 16:13:51;5,00
26/02/2021 16:13:53;13,00
26/02/2021 16:13:55;4,00
26/02/2021 16:13:57;2,00
26/02/2021 16:13:59;0,00
26/02/2021 16:14:01;1,00
26/02/2021 16:14:03;2,00
26/02/2021 16:14:05;8,00
26/02/2021 16:14:07;2,00
26/02/2021 16:14:09;6,00
26/02/2021 16:14:11;9,00
26/02/2021 16:14:13;10,00
26/02/2021 16:14:15;8,00
26/02/2021 16:14:17;4,00
26/02/2021 16:14:19;11,00
26/02/2021 16:14:21;4,00
26/02/2021 16:14:23;2,00
26/02/2021 16:14:25;10,00
26/02/2021 16:14:27;9,00
26/02/2021 16:14:29;10,00
26/02/2021 16:14:31;4,00
26/02/2021 16:14:33;13,00
26/02/2021 16:14:35;12,00
26/02/2021 16:14:37;1,00
26/02/2021 16:14:41;2,00
26/02/2021 16:14:43;10,00
