dd/MM/yyyy HH:mm:ss;CHC1C,16
26/02/2021 16:07:54;74,00
26/02/2021 16:08:04;84,00
26/02/2021 16:08:08;82,00
26/02/2021 16:08:14;76,00
26/02/2021 16:08:20;48,00
26/02/2021 16:08:22;80,00
26/02/2021 16:08:30;83,00
26/02/2021 16:08:34;85,00
26/02/2021 16:08:39;88,00
26/02/2021 16:08:41;64,00
26/02/2021 16:08:45;56,00
26/02/2021 16:08:47;67,00
26/02/2021 16:08:55;52,00
26/02/2021 16:08:57;67,00
26/02/2021 16:09:05;61,00
26/02/2021 16:09:13;64,00
26/02/2021 16:09:17;85,00
26/02/2021 16:09:23;49,00
26/02/2021 16:09:25;41,00
26/02/2021 16:09:27;51,00
26/02/2021 16:09:41;87,00
26/02/2021 16:09:43;65,00
26/02/2021 16:09:45;59,00
26/02/2021 16:09:47;77,00
26/02/2021 16:09:49;47,00
26/02/2021 16:09:51;88,00
26/02/2021 16:09:53;57,00
26/02/2021 16:10:01;41,00
26/02/2021 16:10:03;61,00
26/02/2021 16:10:05;72,00
26/02/2021 16:10:13;42,00
26/02/2021 16:10:17;80,00
26/02/2021 16:10:23;67,00
26/02/2021 16:10:31;64,00
26/02/2021 16:10:33;67,00
26/02/2021 16:10:44;76,00
26/02/2021 16:10:46;45,00
26/02/2021 16:10:52;68,00
26/02/2021 16:10:54;41,00
26/02/2021 16:10:56;64,00
26/02/2021 16:10:58;66,00
26/02/2021 16:11:02;68,00
26/02/2021 16:11:06;65,00
26/02/2021 16:11:08;41,00
26/02/2021 16:11:12;69,00
26/02/2021 16:11:16;74,00
26/02/2021 16:11:18;86,00
26/02/2021 16:11:22;56,00
26/02/2021 16:11:24;65,00
26/02/2021 16:11:28;52,00
26/02/2021 16:11:32;65,00
26/02/2021 16:11:34;88,00
26/02/2021 16:11:36;54,00
26/02/2021 16:11:40;64,00
26/02/2021 16:11:42;56,00
26/02/2021 16:11:44;53,00
26/02/2021 16:11:46;50,00
26/02/2021 16:11:48;47,00
26/02/2021 16:11:50;55,00
26/02/2021 16:11:54;89,00
26/02/2021 16:12:02;68,00
26/02/2021 16:12:04;50,00
26/02/2021 16:12:06;70,00
26/02/2021 16:12:10;79,00
26/02/2021 16:12:12;88,00
26/02/2021 16:12:20;69,00
26/02/2021 16:12:24;89,00
26/02/2021 16:12:28;46,00
26/02/2021 16:12:30;73,00
26/02/2021 16:12:34;53,00
26/02/2021 16:12:36;70,00
26/02/2021 16:12:40;75,00
26/02/2021 16:12:42;64,00
26/02/2021 16:12:44;56,00
26/02/2021 16:12:48;43,00
26/02/2021 16:12:50;62,00
26/02/2021 16:12:56;61,00
26/02/2021 16:12:58;85,00
26/02/2021 16:13:02;56,00
26/02/2021 16:13:04;61,00
26/02/2021 16:13:06;70,00
26/02/2021 16:13:21;73,00
26/02/2021 16:13:22;55,00
26/02/2021 16:13:27;66,00
26/02/2021 16:13:37;61,00
26/02/2021 16:13:43;55,00
26/02/2021 16:13:47;77,00
26/02/2021 16:13:49;72,00
26/02/2021 16:13:51;68,00
26/02/2021 16:13:53;72,00
26/02/2021 16:13:57;43,00
26/02/2021 16:14:01;76,00
26/02/2021 16:14:03;67,00
26/02/2021 16:14:05;53,00
26/02/2021 16:14:07;87,00
26/02/2021 16:14:09;82,00
26/02/2021 16:14:15;64,00
26/02/2021 16:14:19;56,00
26/02/2021 16:14:21;53,00
26/02/2021 16:14:25;72,00
26/02/2021 16:14:33;51,00
26/02/2021 16:14:35;45,00
26/02/2021 16:14:43;42,00
