dd/MM/yyyy HH:mm:ss;CTC4H,16
26/02/2021 16:04:43;5,00
26/02/2021 16:04:45;1,00
26/02/2021 16:04:47;10,00
26/02/2021 16:04:49;6,00
26/02/2021 16:04:53;0,00
26/02/2021 16:04:55;8,00
26/02/2021 16:04:57;3,00
26/02/2021 16:04:59;6,00
26/02/2021 16:05:01;13,00
26/02/2021 16:05:03;11,00
26/02/2021 16:05:05;5,00
26/02/2021 16:05:07;7,00
26/02/2021 16:05:09;0,00
26/02/2021 16:05:11;7,00
26/02/2021 16:05:13;5,00
26/02/2021 16:05:15;13,00
26/02/2021 16:05:17;10,00
26/02/2021 16:05:19;0,00
26/02/2021 16:05:21;12,00
26/02/2021 16:05:23;14,00
26/02/2021 16:05:25;6,00
26/02/2021 16:05:27;7,00
26/02/2021 16:05:29;11,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;3,00
26/02/2021 16:05:37;6,00
26/02/2021 16:05:39;9,00
26/02/2021 16:05:41;3,00
26/02/2021 16:05:43;0,00
26/02/2021 16:05:45;2,00
26/02/2021 16:05:47;0,00
26/02/2021 16:05:49;6,00
26/02/2021 16:05:51;9,00
26/02/2021 16:05:53;4,00
26/02/2021 16:05:55;13,00
26/02/2021 16:05:57;7,00
26/02/2021 16:05:59;10,00
26/02/2021 16:06:01;8,00
26/02/2021 16:06:04;7,00
26/02/2021 16:06:05;6,00
26/02/2021 16:06:08;10,00
26/02/2021 16:06:10;12,00
26/02/2021 16:06:12;13,00
26/02/2021 16:06:14;14,00
26/02/2021 16:06:18;1,00
26/02/2021 16:06:20;4,00
26/02/2021 16:06:22;0,00
26/02/2021 16:06:24;6,00
26/02/2021 16:06:26;3,00
26/02/2021 16:06:28;8,00
26/02/2021 16:06:30;5,00
26/02/2021 16:06:32;4,00
26/02/2021 16:06:34;6,00
26/02/2021 16:06:36;3,00
26/02/2021 16:06:38;0,00
26/02/2021 16:06:40;13,00
26/02/2021 16:06:42;7,00
26/02/2021 16:06:44;3,00
26/02/2021 16:06:46;13,00
26/02/2021 16:06:50;1,00
26/02/2021 16:06:52;3,00
26/02/2021 16:06:54;11,00
26/02/2021 16:06:56;13,00
26/02/2021 16:06:58;2,00
26/02/2021 16:07:00;12,00
26/02/2021 16:07:02;6,00
26/02/2021 16:07:04;13,00
26/02/2021 16:07:06;7,00
26/02/2021 16:07:08;0,00
26/02/2021 16:07:10;2,00
26/02/2021 16:07:12;3,00
26/02/2021 16:07:14;6,00
26/02/2021 16:07:16;2,00
26/02/2021 16:07:18;12,00
26/02/2021 16:07:20;13,00
26/02/2021 16:07:22;7,00
26/02/2021 16:07:24;10,00
26/02/2021 16:07:26;3,00
26/02/2021 16:07:28;2,00
26/02/2021 16:07:30;13,00
26/02/2021 16:07:32;1,00
26/02/2021 16:07:34;11,00
26/02/2021 16:07:36;5,00
26/02/2021 16:07:38;3,00
26/02/2021 16:07:40;8,00
26/02/2021 16:07:42;5,00
26/02/2021 16:07:44;0,00
26/02/2021 16:07:46;8,00
26/02/2021 16:07:48;9,00
26/02/2021 16:07:50;13,00
26/02/2021 16:07:52;0,00
26/02/2021 16:07:54;4,00
26/02/2021 16:07:56;0,00
26/02/2021 16:07:58;10,00
26/02/2021 16:08:00;3,00
26/02/2021 16:08:02;6,00
26/02/2021 16:08:06;13,00
26/02/2021 16:08:08;1,00
26/02/2021 16:08:10;7,00
26/02/2021 16:08:12;0,00
26/02/2021 16:08:14;7,00
26/02/2021 16:08:16;9,00
26/02/2021 16:08:18;5,00
26/02/2021 16:08:20;4,00
26/02/2021 16:08:22;11,00
26/02/2021 16:08:24;13,00
26/02/2021 16:08:26;9,00
26/02/2021 16:08:28;11,00
26/02/2021 16:08:30;6,00
26/02/2021 16:08:33;11,00
26/02/2021 16:08:34;2,00
26/02/2021 16:08:37;11,00
26/02/2021 16:08:39;10,00
26/02/2021 16:08:41;8,00
26/02/2021 16:08:45;12,00
26/02/2021 16:08:47;6,00
26/02/2021 16:08:49;4,00
26/02/2021 16:08:51;11,00
26/02/2021 16:08:53;12,00
26/02/2021 16:08:55;8,00
26/02/2021 16:08:57;12,00
26/02/2021 16:08:59;1,00
26/02/2021 16:09:01;7,00
26/02/2021 16:09:03;6,00
26/02/2021 16:09:07;13,00
26/02/2021 16:09:09;2,00
26/02/2021 16:09:11;7,00
26/02/2021 16:09:13;3,00
26/02/2021 16:09:15;9,00
26/02/2021 16:09:17;11,00
26/02/2021 16:09:19;0,00
26/02/2021 16:09:21;4,00
26/02/2021 16:09:23;9,00
26/02/2021 16:09:25;2,00
26/02/2021 16:09:27;12,00
26/02/2021 16:09:29;7,00
26/02/2021 16:09:31;9,00
26/02/2021 16:09:33;1,00
26/02/2021 16:09:35;8,00
26/02/2021 16:09:37;7,00
26/02/2021 16:09:39;6,00
26/02/2021 16:09:41;12,00
26/02/2021 16:09:43;11,00
26/02/2021 16:09:45;14,00
26/02/2021 16:09:47;11,00
26/02/2021 16:09:49;6,00
26/02/2021 16:09:51;7,00
26/02/2021 16:09:53;10,00
26/02/2021 16:09:55;5,00
26/02/2021 16:09:57;2,00
26/02/2021 16:09:59;1,00
26/02/2021 16:10:01;9,00
26/02/2021 16:10:03;7,00
26/02/2021 16:10:05;11,00
26/02/2021 16:10:07;13,00
26/02/2021 16:10:09;2,00
26/02/2021 16:10:11;11,00
26/02/2021 16:10:13;5,00
26/02/2021 16:10:15;9,00
26/02/2021 16:10:17;14,00
26/02/2021 16:10:19;6,00
26/02/2021 16:10:21;0,00
26/02/2021 16:10:23;13,00
26/02/2021 16:10:25;9,00
26/02/2021 16:10:27;5,00
26/02/2021 16:10:29;4,00
26/02/2021 16:10:31;2,00
26/02/2021 16:10:33;5,00
26/02/2021 16:10:35;9,00
26/02/2021 16:10:37;0,00
26/02/2021 16:10:39;3,00
26/02/2021 16:10:41;8,00
26/02/2021 16:10:44;13,00
26/02/2021 16:10:46;2,00
26/02/2021 16:10:48;12,00
26/02/2021 16:10:50;9,00
26/02/2021 16:10:52;14,00
26/02/2021 16:10:54;13,00
26/02/2021 16:10:56;7,00
26/02/2021 16:10:58;8,00
26/02/2021 16:11:00;3,00
26/02/2021 16:11:02;5,00
26/02/2021 16:11:04;9,00
26/02/2021 16:11:06;7,00
26/02/2021 16:11:08;4,00
26/02/2021 16:11:10;11,00
26/02/2021 16:11:12;9,00
26/02/2021 16:11:14;0,00
26/02/2021 16:11:16;4,00
26/02/2021 16:11:18;6,00
26/02/2021 16:11:20;9,00
26/02/2021 16:11:22;8,00
26/02/2021 16:11:24;2,00
26/02/2021 16:11:26;4,00
26/02/2021 16:11:28;12,00
26/02/2021 16:11:30;10,00
26/02/2021 16:11:32;14,00
26/02/2021 16:11:34;10,00
26/02/2021 16:11:36;12,00
26/02/2021 16:11:38;7,00
26/02/2021 16:11:42;12,00
26/02/2021 16:11:44;4,00
26/02/2021 16:11:46;5,00
26/02/2021 16:11:48;1,00
26/02/2021 16:11:50;14,00
26/02/2021 16:11:54;9,00
26/02/2021 16:11:56;10,00
26/02/2021 16:11:58;11,00
26/02/2021 16:12:00;8,00
26/02/2021 16:12:02;7,00
26/02/2021 16:12:04;2,00
26/02/2021 16:12:06;14,00
26/02/2021 16:12:08;8,00
26/02/2021 16:12:10;9,00
26/02/2021 16:12:14;5,00
26/02/2021 16:12:16;4,00
26/02/2021 16:12:18;7,00
26/02/2021 16:12:20;9,00
26/02/2021 16:12:22;1,00
26/02/2021 16:12:24;9,00
26/02/2021 16:12:30;12,00
26/02/2021 16:12:32;1,00
26/02/2021 16:12:34;8,00
26/02/2021 16:12:36;10,00
26/02/2021 16:12:40;11,00
26/02/2021 16:12:42;0,00
26/02/2021 16:12:44;10,00
26/02/2021 16:12:46;3,00
26/02/2021 16:12:48;7,00
26/02/2021 16:12:50;10,00
26/02/2021 16:12:52;5,00
26/02/2021 16:12:54;6,00
26/02/2021 16:12:56;5,00
26/02/2021 16:12:58;4,00
26/02/2021 16:13:00;3,00
26/02/2021 16:13:02;12,00
26/02/2021 16:13:04;10,00
26/02/2021 16:13:06;0,00
26/02/2021 16:13:08;4,00
26/02/2021 16:13:10;3,00
26/02/2021 16:13:12;4,00
26/02/2021 16:13:14;12,00
26/02/2021 16:13:16;8,00
26/02/2021 16:13:18;6,00
26/02/2021 16:13:21;12,00
26/02/2021 16:13:22;8,00
26/02/2021 16:13:25;14,00
26/02/2021 16:13:27;7,00
26/02/2021 16:13:29;8,00
26/02/2021 16:13:31;6,00
26/02/2021 16:13:33;12,00
26/02/2021 16:13:35;0,00
26/02/2021 16:13:37;8,00
26/02/2021 16:13:39;3,00
26/02/2021 16:13:41;2,00
26/02/2021 16:13:43;9,00
26/02/2021 16:13:45;6,00
26/02/2021 16:13:47;1,00
26/02/2021 16:13:51;7,00
26/02/2021 16:13:53;0,00
26/02/2021 16:13:57;3,00
26/02/2021 16:13:59;5,00
26/02/2021 16:14:01;8,00
26/02/2021 16:14:03;6,00
26/02/2021 16:14:05;9,00
26/02/2021 16:14:07;8,00
26/02/2021 16:14:09;9,00
26/02/2021 16:14:11;0,00
26/02/2021 16:14:13;10,00
26/02/2021 16:14:15;8,00
26/02/2021 16:14:17;0,00
26/02/2021 16:14:19;7,00
26/02/2021 16:14:21;6,00
26/02/2021 16:14:23;2,00
26/02/2021 16:14:25;5,00
26/02/2021 16:14:27;2,00
26/02/2021 16:14:29;10,00
26/02/2021 16:14:31;0,00
26/02/2021 16:14:33;7,00
26/02/2021 16:14:35;2,00
26/02/2021 16:14:37;9,00
26/02/2021 16:14:39;11,00
26/02/2021 16:14:41;3,00
