dd/MM/yyyy HH:mm:ss;CTC4P,16
26/02/2021 16:10:50;6,00
26/02/2021 16:10:52;2,00
26/02/2021 16:10:54;3,00
26/02/2021 16:10:56;14,00
26/02/2021 16:10:58;7,00
26/02/2021 16:11:00;12,00
26/02/2021 16:11:02;13,00
26/02/2021 16:11:04;14,00
26/02/2021 16:11:08;5,00
26/02/2021 16:11:10;14,00
26/02/2021 16:11:12;6,00
26/02/2021 16:11:14;3,00
26/02/2021 16:11:16;5,00
26/02/2021 16:11:18;12,00
26/02/2021 16:11:20;6,00
26/02/2021 16:11:22;4,00
26/02/2021 16:11:24;12,00
26/02/2021 16:11:26;13,00
26/02/2021 16:11:28;9,00
26/02/2021 16:11:30;12,00
26/02/2021 16:11:32;3,00
26/02/2021 16:11:34;5,00
26/02/2021 16:11:38;14,00
26/02/2021 16:11:40;10,00
26/02/2021 16:11:42;12,00
26/02/2021 16:11:44;3,00
26/02/2021 16:11:46;6,00
26/02/2021 16:11:48;10,00
26/02/2021 16:11:50;4,00
26/02/2021 16:11:52;10,00
26/02/2021 16:11:54;5,00
26/02/2021 16:11:56;10,00
26/02/2021 16:12:00;12,00
26/02/2021 16:12:02;8,00
26/02/2021 16:12:04;9,00
26/02/2021 16:12:06;10,00
26/02/2021 16:12:08;5,00
26/02/2021 16:12:10;13,00
26/02/2021 16:12:12;6,00
26/02/2021 16:12:14;10,00
26/02/2021 16:12:16;14,00
26/02/2021 16:12:18;9,00
26/02/2021 16:12:20;7,00
26/02/2021 16:12:22;9,00
26/02/2021 16:12:24;4,00
26/02/2021 16:12:26;7,00
26/02/2021 16:12:28;3,00
26/02/2021 16:12:30;11,00
26/02/2021 16:12:34;4,00
26/02/2021 16:12:36;9,00
26/02/2021 16:12:38;7,00
26/02/2021 16:12:40;13,00
26/02/2021 16:12:42;11,00
26/02/2021 16:12:44;6,00
26/02/2021 16:12:46;8,00
26/02/2021 16:12:48;5,00
26/02/2021 16:12:50;7,00
26/02/2021 16:12:52;10,00
26/02/2021 16:12:54;13,00
26/02/2021 16:12:56;2,00
26/02/2021 16:12:58;5,00
26/02/2021 16:13:00;2,00
26/02/2021 16:13:02;0,00
26/02/2021 16:13:04;14,00
26/02/2021 16:13:06;1,00
26/02/2021 16:13:08;7,00
26/02/2021 16:13:10;14,00
26/02/2021 16:13:12;13,00
26/02/2021 16:13:16;1,00
26/02/2021 16:13:18;14,00
26/02/2021 16:13:21;3,00
26/02/2021 16:13:22;1,00
26/02/2021 16:13:25;11,00
26/02/2021 16:13:27;10,00
26/02/2021 16:13:29;6,00
26/02/2021 16:13:31;1,00
26/02/2021 16:13:35;9,00
26/02/2021 16:13:39;1,00
26/02/2021 16:13:41;13,00
26/02/2021 16:13:43;3,00
26/02/2021 16:13:45;11,00
26/02/2021 16:13:47;10,00
26/02/2021 16:13:49;7,00
26/02/2021 16:13:51;5,00
26/02/2021 16:13:55;11,00
26/02/2021 16:13:57;6,00
26/02/2021 16:13:59;0,00
26/02/2021 16:14:01;12,00
26/02/2021 16:14:03;10,00
26/02/2021 16:14:05;9,00
26/02/2021 16:14:07;5,00
26/02/2021 16:14:09;7,00
26/02/2021 16:14:11;13,00
26/02/2021 16:14:13;1,00
26/02/2021 16:14:15;5,00
26/02/2021 16:14:17;12,00
26/02/2021 16:14:19;1,00
26/02/2021 16:14:21;4,00
26/02/2021 16:14:23;14,00
26/02/2021 16:14:25;6,00
26/02/2021 16:14:27;3,00
26/02/2021 16:14:29;8,00
26/02/2021 16:14:31;14,00
26/02/2021 16:14:33;10,00
26/02/2021 16:14:35;3,00
26/02/2021 16:14:37;9,00
26/02/2021 16:14:39;13,00
26/02/2021 16:14:41;8,00
26/02/2021 16:14:43;1,00
