dd/MM/yyyy HH:mm:ss;CTC4R,16
26/02/2021 16:06:50;0,00
26/02/2021 16:06:52;14,00
26/02/2021 16:06:54;4,00
26/02/2021 16:06:58;3,00
26/02/2021 16:07:04;9,00
26/02/2021 16:07:06;3,00
26/02/2021 16:07:08;12,00
26/02/2021 16:07:10;13,00
26/02/2021 16:07:12;11,00
26/02/2021 16:07:14;3,00
26/02/2021 16:07:16;10,00
26/02/2021 16:07:18;11,00
26/02/2021 16:07:20;1,00
26/02/2021 16:07:22;2,00
26/02/2021 16:07:24;3,00
26/02/2021 16:07:26;13,00
26/02/2021 16:07:28;0,00
26/02/2021 16:07:30;9,00
26/02/2021 16:07:32;10,00
26/02/2021 16:07:34;8,00
26/02/2021 16:07:36;12,00
26/02/2021 16:07:38;3,00
26/02/2021 16:07:40;5,00
26/02/2021 16:07:42;7,00
26/02/2021 16:07:44;4,00
26/02/2021 16:07:46;7,00
26/02/2021 16:07:48;3,00
26/02/2021 16:07:50;11,00
26/02/2021 16:07:52;3,00
26/02/2021 16:07:54;0,00
26/02/2021 16:07:56;2,00
26/02/2021 16:07:58;3,00
26/02/2021 16:08:00;8,00
26/02/2021 16:08:02;14,00
26/02/2021 16:08:04;7,00
26/02/2021 16:08:06;14,00
26/02/2021 16:08:10;0,00
26/02/2021 16:08:12;2,00
26/02/2021 16:08:14;5,00
26/02/2021 16:08:16;3,00
26/02/2021 16:08:18;8,00
26/02/2021 16:08:20;14,00
26/02/2021 16:08:24;12,00
26/02/2021 16:08:26;8,00
26/02/2021 16:08:28;7,00
26/02/2021 16:08:30;13,00
26/02/2021 16:08:33;3,00
26/02/2021 16:08:34;9,00
26/02/2021 16:08:37;4,00
26/02/2021 16:08:39;13,00
26/02/2021 16:08:41;9,00
26/02/2021 16:08:43;0,00
26/02/2021 16:08:45;8,00
26/02/2021 16:08:49;9,00
26/02/2021 16:08:51;1,00
26/02/2021 16:08:53;4,00
26/02/2021 16:08:55;0,00
26/02/2021 16:08:57;9,00
26/02/2021 16:08:59;12,00
26/02/2021 16:09:01;6,00
26/02/2021 16:09:03;8,00
26/02/2021 16:09:05;10,00
26/02/2021 16:09:07;12,00
26/02/2021 16:09:09;11,00
26/02/2021 16:09:11;14,00
26/02/2021 16:09:13;7,00
26/02/2021 16:09:15;2,00
26/02/2021 16:09:17;14,00
26/02/2021 16:09:19;13,00
26/02/2021 16:09:21;14,00
26/02/2021 16:09:23;0,00
26/02/2021 16:09:25;4,00
26/02/2021 16:09:29;8,00
26/02/2021 16:09:31;0,00
26/02/2021 16:09:33;14,00
26/02/2021 16:09:35;12,00
26/02/2021 16:09:37;8,00
26/02/2021 16:09:43;11,00
26/02/2021 16:09:45;14,00
26/02/2021 16:09:47;13,00
26/02/2021 16:09:49;11,00
26/02/2021 16:09:51;13,00
26/02/2021 16:09:53;12,00
26/02/2021 16:09:55;14,00
26/02/2021 16:09:57;9,00
26/02/2021 16:09:59;12,00
26/02/2021 16:10:01;1,00
26/02/2021 16:10:03;3,00
26/02/2021 16:10:07;12,00
26/02/2021 16:10:09;10,00
26/02/2021 16:10:11;7,00
26/02/2021 16:10:13;4,00
26/02/2021 16:10:15;12,00
26/02/2021 16:10:17;13,00
26/02/2021 16:10:21;8,00
26/02/2021 16:10:23;14,00
26/02/2021 16:10:25;0,00
26/02/2021 16:10:27;10,00
26/02/2021 16:10:31;13,00
26/02/2021 16:10:33;10,00
26/02/2021 16:10:35;14,00
26/02/2021 16:10:37;11,00
26/02/2021 16:10:41;8,00
26/02/2021 16:10:44;11,00
26/02/2021 16:10:46;4,00
26/02/2021 16:10:48;14,00
26/02/2021 16:10:50;13,00
26/02/2021 16:10:52;1,00
26/02/2021 16:10:54;3,00
26/02/2021 16:10:56;1,00
26/02/2021 16:10:58;9,00
26/02/2021 16:11:00;14,00
26/02/2021 16:11:02;1,00
26/02/2021 16:11:04;10,00
26/02/2021 16:11:06;9,00
26/02/2021 16:11:08;5,00
26/02/2021 16:11:10;0,00
26/02/2021 16:11:12;9,00
26/02/2021 16:11:14;13,00
26/02/2021 16:11:16;9,00
26/02/2021 16:11:20;1,00
26/02/2021 16:11:22;14,00
26/02/2021 16:11:24;10,00
26/02/2021 16:11:26;1,00
26/02/2021 16:11:28;8,00
26/02/2021 16:11:30;6,00
26/02/2021 16:11:32;0,00
26/02/2021 16:11:34;1,00
26/02/2021 16:11:36;3,00
26/02/2021 16:11:38;11,00
26/02/2021 16:11:40;8,00
26/02/2021 16:11:42;2,00
26/02/2021 16:11:46;8,00
26/02/2021 16:11:48;1,00
26/02/2021 16:11:50;8,00
26/02/2021 16:11:52;9,00
26/02/2021 16:11:54;12,00
26/02/2021 16:11:58;1,00
26/02/2021 16:12:00;2,00
26/02/2021 16:12:02;13,00
26/02/2021 16:12:04;10,00
26/02/2021 16:12:06;5,00
26/02/2021 16:12:08;7,00
26/02/2021 16:12:10;6,00
26/02/2021 16:12:12;5,00
26/02/2021 16:12:14;1,00
26/02/2021 16:12:16;10,00
26/02/2021 16:12:18;13,00
26/02/2021 16:12:20;0,00
26/02/2021 16:12:22;13,00
26/02/2021 16:12:24;11,00
26/02/2021 16:12:26;8,00
26/02/2021 16:12:28;11,00
26/02/2021 16:12:30;12,00
26/02/2021 16:12:32;3,00
26/02/2021 16:12:34;13,00
26/02/2021 16:12:36;4,00
26/02/2021 16:12:40;11,00
26/02/2021 16:12:42;1,00
26/02/2021 16:12:44;14,00
26/02/2021 16:12:46;7,00
26/02/2021 16:12:48;6,00
26/02/2021 16:12:50;2,00
26/02/2021 16:12:52;3,00
26/02/2021 16:12:54;13,00
26/02/2021 16:12:56;2,00
26/02/2021 16:12:58;3,00
26/02/2021 16:13:00;6,00
26/02/2021 16:13:02;9,00
26/02/2021 16:13:04;13,00
26/02/2021 16:13:06;8,00
26/02/2021 16:13:08;1,00
26/02/2021 16:13:10;10,00
26/02/2021 16:13:12;1,00
26/02/2021 16:13:14;3,00
26/02/2021 16:13:16;4,00
26/02/2021 16:13:18;12,00
26/02/2021 16:13:21;4,00
26/02/2021 16:13:22;10,00
26/02/2021 16:13:25;5,00
26/02/2021 16:13:27;6,00
26/02/2021 16:13:29;14,00
26/02/2021 16:13:31;6,00
26/02/2021 16:13:35;9,00
26/02/2021 16:13:37;6,00
26/02/2021 16:13:39;5,00
26/02/2021 16:13:41;9,00
26/02/2021 16:13:43;7,00
26/02/2021 16:13:45;9,00
26/02/2021 16:13:47;1,00
26/02/2021 16:13:49;3,00
26/02/2021 16:13:51;6,00
26/02/2021 16:13:53;12,00
26/02/2021 16:13:55;9,00
26/02/2021 16:13:57;3,00
26/02/2021 16:13:59;11,00
26/02/2021 16:14:03;14,00
26/02/2021 16:14:07;5,00
26/02/2021 16:14:09;6,00
26/02/2021 16:14:11;4,00
26/02/2021 16:14:13;2,00
26/02/2021 16:14:15;12,00
26/02/2021 16:14:17;6,00
26/02/2021 16:14:19;14,00
26/02/2021 16:14:21;4,00
26/02/2021 16:14:23;2,00
26/02/2021 16:14:25;7,00
26/02/2021 16:14:27;11,00
26/02/2021 16:14:31;0,00
26/02/2021 16:14:33;11,00
26/02/2021 16:14:35;0,00
26/02/2021 16:14:37;1,00
26/02/2021 16:14:39;5,00
26/02/2021 16:14:43;13,00
