dd/MM/yyyy HH:mm:ss;CTC5E,16
26/02/2021 16:09:21;3,00
26/02/2021 16:09:23;5,00
26/02/2021 16:09:25;13,00
26/02/2021 16:09:27;4,00
26/02/2021 16:09:29;14,00
26/02/2021 16:09:31;2,00
26/02/2021 16:09:33;10,00
26/02/2021 16:09:35;6,00
26/02/2021 16:09:37;4,00
26/02/2021 16:09:39;8,00
26/02/2021 16:09:41;4,00
26/02/2021 16:09:43;6,00
26/02/2021 16:09:45;7,00
26/02/2021 16:09:47;6,00
26/02/2021 16:09:49;10,00
26/02/2021 16:09:51;1,00
26/02/2021 16:09:55;13,00
26/02/2021 16:09:57;5,00
26/02/2021 16:09:59;4,00
26/02/2021 16:10:01;7,00
26/02/2021 16:10:03;5,00
26/02/2021 16:10:05;8,00
26/02/2021 16:10:07;2,00
26/02/2021 16:10:09;12,00
26/02/2021 16:10:11;14,00
26/02/2021 16:10:17;9,00
26/02/2021 16:10:19;10,00
26/02/2021 16:10:21;13,00
26/02/2021 16:10:23;5,00
26/02/2021 16:10:25;3,00
26/02/2021 16:10:27;6,00
26/02/2021 16:10:29;9,00
26/02/2021 16:10:31;2,00
26/02/2021 16:10:33;8,00
26/02/2021 16:10:35;3,00
26/02/2021 16:10:37;2,00
26/02/2021 16:10:39;7,00
26/02/2021 16:10:41;1,00
26/02/2021 16:10:44;0,00
26/02/2021 16:10:46;13,00
26/02/2021 16:10:50;9,00
26/02/2021 16:10:52;10,00
26/02/2021 16:10:54;8,00
26/02/2021 16:10:56;13,00
26/02/2021 16:10:58;6,00
26/02/2021 16:11:00;3,00
26/02/2021 16:11:02;1,00
26/02/2021 16:11:04;4,00
26/02/2021 16:11:06;13,00
26/02/2021 16:11:08;1,00
26/02/2021 16:11:10;12,00
26/02/2021 16:11:12;4,00
26/02/2021 16:11:14;10,00
26/02/2021 16:11:16;5,00
26/02/2021 16:11:18;14,00
26/02/2021 16:11:20;11,00
26/02/2021 16:11:22;7,00
26/02/2021 16:11:24;11,00
26/02/2021 16:11:26;3,00
26/02/2021 16:11:28;8,00
26/02/2021 16:11:30;12,00
26/02/2021 16:11:32;9,00
26/02/2021 16:11:36;12,00
26/02/2021 16:11:38;9,00
26/02/2021 16:11:40;7,00
26/02/2021 16:11:42;6,00
26/02/2021 16:11:44;9,00
26/02/2021 16:11:46;1,00
26/02/2021 16:11:48;0,00
26/02/2021 16:11:50;11,00
26/02/2021 16:11:52;6,00
26/02/2021 16:11:54;1,00
26/02/2021 16:11:56;3,00
26/02/2021 16:11:58;13,00
26/02/2021 16:12:00;11,00
26/02/2021 16:12:02;13,00
26/02/2021 16:12:04;12,00
26/02/2021 16:12:06;13,00
26/02/2021 16:12:08;14,00
26/02/2021 16:12:10;4,00
26/02/2021 16:12:12;10,00
26/02/2021 16:12:14;1,00
26/02/2021 16:12:16;7,00
26/02/2021 16:12:18;6,00
26/02/2021 16:12:20;11,00
26/02/2021 16:12:22;9,00
26/02/2021 16:12:24;7,00
26/02/2021 16:12:26;3,00
26/02/2021 16:12:28;7,00
26/02/2021 16:12:32;0,00
26/02/2021 16:12:34;2,00
26/02/2021 16:12:36;4,00
26/02/2021 16:12:38;10,00
26/02/2021 16:12:40;6,00
26/02/2021 16:12:42;11,00
26/02/2021 16:12:44;9,00
26/02/2021 16:12:48;11,00
26/02/2021 16:12:50;6,00
26/02/2021 16:12:52;9,00
26/02/2021 16:12:54;14,00
26/02/2021 16:12:56;1,00
26/02/2021 16:12:58;2,00
26/02/2021 16:13:00;13,00
26/02/2021 16:13:02;8,00
26/02/2021 16:13:04;13,00
26/02/2021 16:13:08;14,00
26/02/2021 16:13:10;2,00
26/02/2021 16:13:12;7,00
26/02/2021 16:13:14;0,00
26/02/2021 16:13:16;7,00
26/02/2021 16:13:18;12,00
26/02/2021 16:13:21;2,00
26/02/2021 16:13:22;9,00
26/02/2021 16:13:25;11,00
26/02/2021 16:13:27;8,00
26/02/2021 16:13:29;1,00
26/02/2021 16:13:31;14,00
26/02/2021 16:13:33;5,00
26/02/2021 16:13:35;9,00
26/02/2021 16:13:37;5,00
26/02/2021 16:13:39;4,00
26/02/2021 16:13:47;9,00
26/02/2021 16:13:49;8,00
26/02/2021 16:13:51;2,00
26/02/2021 16:13:53;8,00
26/02/2021 16:13:55;12,00
26/02/2021 16:13:57;10,00
26/02/2021 16:13:59;5,00
26/02/2021 16:14:01;0,00
26/02/2021 16:14:03;7,00
26/02/2021 16:14:05;8,00
26/02/2021 16:14:07;0,00
26/02/2021 16:14:09;8,00
26/02/2021 16:14:13;5,00
26/02/2021 16:14:15;11,00
26/02/2021 16:14:19;12,00
26/02/2021 16:14:21;10,00
26/02/2021 16:14:23;0,00
26/02/2021 16:14:25;3,00
26/02/2021 16:14:27;6,00
26/02/2021 16:14:29;14,00
26/02/2021 16:14:31;5,00
26/02/2021 16:14:33;9,00
26/02/2021 16:14:35;7,00
26/02/2021 16:14:37;2,00
26/02/2021 16:14:39;12,00
26/02/2021 16:14:41;10,00
26/02/2021 16:14:43;11,00
