dd/MM/yyyy HH:mm:ss;CHC1J,16
26/02/2021 16:11:18;88,00
26/02/2021 16:11:20;69,00
26/02/2021 16:11:22;43,00
26/02/2021 16:11:24;79,00
26/02/2021 16:11:28;74,00
26/02/2021 16:11:32;86,00
26/02/2021 16:11:36;87,00
26/02/2021 16:11:38;66,00
26/02/2021 16:11:40;65,00
26/02/2021 16:11:46;76,00
26/02/2021 16:11:48;84,00
26/02/2021 16:11:52;57,00
26/02/2021 16:11:58;80,00
26/02/2021 16:12:00;56,00
26/02/2021 16:12:06;79,00
26/02/2021 16:12:08;72,00
26/02/2021 16:12:12;83,00
26/02/2021 16:12:16;79,00
26/02/2021 16:12:18;47,00
26/02/2021 16:12:20;55,00
26/02/2021 16:12:24;47,00
26/02/2021 16:12:30;69,00
26/02/2021 16:12:36;83,00
26/02/2021 16:12:38;73,00
26/02/2021 16:12:44;77,00
26/02/2021 16:12:48;61,00
26/02/2021 16:12:50;85,00
26/02/2021 16:12:54;55,00
26/02/2021 16:12:56;80,00
26/02/2021 16:13:06;43,00
26/02/2021 16:13:10;59,00
26/02/2021 16:13:14;60,00
26/02/2021 16:13:16;87,00
26/02/2021 16:13:18;89,00
26/02/2021 16:13:25;60,00
26/02/2021 16:13:27;52,00
26/02/2021 16:13:29;50,00
26/02/2021 16:13:41;82,00
26/02/2021 16:13:45;75,00
26/02/2021 16:13:49;50,00
26/02/2021 16:13:51;81,00
26/02/2021 16:13:53;83,00
26/02/2021 16:14:03;44,00
26/02/2021 16:14:13;60,00
26/02/2021 16:14:15;65,00
26/02/2021 16:14:17;71,00
26/02/2021 16:14:19;59,00
26/02/2021 16:14:21;74,00
26/02/2021 16:14:31;83,00
26/02/2021 16:14:35;46,00
26/02/2021 16:14:37;58,00
26/02/2021 16:14:39;87,00
26/02/2021 16:14:41;55,00
