dd/MM/yyyy HH:mm:ss;CTC4M,16
26/02/2021 16:04:15;6,00
26/02/2021 16:04:17;8,00
26/02/2021 16:04:19;1,00
26/02/2021 16:04:21;5,00
26/02/2021 16:04:23;12,00
26/02/2021 16:04:25;4,00
26/02/2021 16:04:27;13,00
26/02/2021 16:04:29;12,00
26/02/2021 16:04:31;8,00
26/02/2021 16:04:33;3,00
26/02/2021 16:04:35;4,00
26/02/2021 16:04:37;2,00
26/02/2021 16:04:39;8,00
26/02/2021 16:04:41;13,00
26/02/2021 16:04:45;0,00
26/02/2021 16:04:47;9,00
26/02/2021 16:04:49;8,00
26/02/2021 16:04:51;11,00
26/02/2021 16:04:53;10,00
26/02/2021 16:04:55;4,00
26/02/2021 16:04:57;6,00
26/02/2021 16:04:59;2,00
26/02/2021 16:05:01;11,00
26/02/2021 16:05:03;5,00
26/02/2021 16:05:05;7,00
26/02/2021 16:05:07;4,00
26/02/2021 16:05:09;5,00
26/02/2021 16:05:11;10,00
26/02/2021 16:05:13;14,00
26/02/2021 16:05:15;11,00
26/02/2021 16:05:17;6,00
26/02/2021 16:05:19;5,00
26/02/2021 16:05:21;7,00
26/02/2021 16:05:23;12,00
26/02/2021 16:05:25;5,00
26/02/2021 16:05:27;8,00
26/02/2021 16:05:29;13,00
26/02/2021 16:05:31;11,00
26/02/2021 16:05:35;8,00
26/02/2021 16:05:37;3,00
26/02/2021 16:05:39;7,00
26/02/2021 16:05:41;2,00
26/02/2021 16:05:43;7,00
26/02/2021 16:05:45;0,00
26/02/2021 16:05:47;12,00
26/02/2021 16:05:49;5,00
26/02/2021 16:05:51;6,00
26/02/2021 16:05:53;2,00
26/02/2021 16:05:55;3,00
26/02/2021 16:05:57;13,00
26/02/2021 16:05:59;14,00
26/02/2021 16:06:04;12,00
26/02/2021 16:06:05;8,00
26/02/2021 16:06:08;0,00
26/02/2021 16:06:10;4,00
26/02/2021 16:06:12;10,00
26/02/2021 16:06:14;13,00
26/02/2021 16:06:16;0,00
26/02/2021 16:06:18;5,00
26/02/2021 16:06:22;7,00
26/02/2021 16:06:24;3,00
26/02/2021 16:06:26;4,00
26/02/2021 16:06:28;5,00
26/02/2021 16:06:30;9,00
26/02/2021 16:06:32;5,00
26/02/2021 16:06:34;14,00
26/02/2021 16:06:36;9,00
26/02/2021 16:06:38;2,00
26/02/2021 16:06:40;1,00
26/02/2021 16:06:42;4,00
26/02/2021 16:06:44;1,00
26/02/2021 16:06:46;10,00
26/02/2021 16:06:48;9,00
26/02/2021 16:06:52;8,00
26/02/2021 16:06:54;10,00
26/02/2021 16:06:56;1,00
26/02/2021 16:06:58;11,00
26/02/2021 16:07:00;3,00
26/02/2021 16:07:02;1,00
26/02/2021 16:07:04;2,00
26/02/2021 16:07:06;13,00
26/02/2021 16:07:08;2,00
26/02/2021 16:07:12;10,00
26/02/2021 16:07:14;13,00
26/02/2021 16:07:16;2,00
26/02/2021 16:07:18;11,00
26/02/2021 16:07:20;7,00
26/02/2021 16:07:22;12,00
26/02/2021 16:07:24;9,00
26/02/2021 16:07:26;7,00
26/02/2021 16:07:28;5,00
26/02/2021 16:07:30;6,00
26/02/2021 16:07:32;9,00
26/02/2021 16:07:34;2,00
26/02/2021 16:07:36;5,00
26/02/2021 16:07:38;3,00
26/02/2021 16:07:42;14,00
26/02/2021 16:07:44;6,00
26/02/2021 16:07:46;1,00
26/02/2021 16:07:48;2,00
26/02/2021 16:07:50;7,00
26/02/2021 16:07:54;5,00
26/02/2021 16:07:56;10,00
26/02/2021 16:07:58;5,00
26/02/2021 16:08:00;4,00
26/02/2021 16:08:02;1,00
26/02/2021 16:08:04;3,00
26/02/2021 16:08:06;14,00
26/02/2021 16:08:08;6,00
26/02/2021 16:08:10;13,00
26/02/2021 16:08:12;11,00
26/02/2021 16:08:14;1,00
26/02/2021 16:08:16;9,00
26/02/2021 16:08:18;6,00
26/02/2021 16:08:20;1,00
26/02/2021 16:08:22;3,00
26/02/2021 16:08:24;5,00
26/02/2021 16:08:26;7,00
26/02/2021 16:08:28;4,00
26/02/2021 16:08:30;0,00
26/02/2021 16:08:33;9,00
26/02/2021 16:08:34;11,00
26/02/2021 16:08:37;4,00
26/02/2021 16:08:39;8,00
26/02/2021 16:08:41;3,00
26/02/2021 16:08:43;7,00
26/02/2021 16:08:45;3,00
26/02/2021 16:08:47;4,00
26/02/2021 16:08:49;13,00
26/02/2021 16:08:51;9,00
26/02/2021 16:08:53;13,00
26/02/2021 16:08:55;10,00
26/02/2021 16:08:57;8,00
26/02/2021 16:08:59;12,00
26/02/2021 16:09:01;1,00
26/02/2021 16:09:03;9,00
26/02/2021 16:09:05;0,00
26/02/2021 16:09:07;3,00
26/02/2021 16:09:09;10,00
26/02/2021 16:09:11;6,00
26/02/2021 16:09:13;13,00
26/02/2021 16:09:15;1,00
26/02/2021 16:09:17;13,00
26/02/2021 16:09:19;8,00
26/02/2021 16:09:21;1,00
26/02/2021 16:09:23;13,00
26/02/2021 16:09:25;7,00
26/02/2021 16:09:27;2,00
26/02/2021 16:09:29;11,00
26/02/2021 16:09:31;1,00
26/02/2021 16:09:33;6,00
26/02/2021 16:09:35;3,00
26/02/2021 16:09:37;6,00
26/02/2021 16:09:39;14,00
26/02/2021 16:09:41;0,00
26/02/2021 16:09:43;12,00
26/02/2021 16:09:45;14,00
26/02/2021 16:09:47;2,00
26/02/2021 16:09:49;3,00
26/02/2021 16:09:51;7,00
26/02/2021 16:09:53;0,00
26/02/2021 16:09:55;5,00
26/02/2021 16:09:57;11,00
26/02/2021 16:09:59;4,00
26/02/2021 16:10:01;5,00
26/02/2021 16:10:03;11,00
26/02/2021 16:10:05;6,00
26/02/2021 16:10:07;7,00
26/02/2021 16:10:09;13,00
26/02/2021 16:10:11;5,00
26/02/2021 16:10:13;9,00
26/02/2021 16:10:15;5,00
26/02/2021 16:10:17;3,00
26/02/2021 16:10:19;5,00
26/02/2021 16:10:21;0,00
26/02/2021 16:10:23;9,00
26/02/2021 16:10:25;14,00
26/02/2021 16:10:27;2,00
26/02/2021 16:10:29;8,00
26/02/2021 16:10:31;1,00
26/02/2021 16:10:33;13,00
26/02/2021 16:10:37;9,00
26/02/2021 16:10:39;12,00
26/02/2021 16:10:41;5,00
26/02/2021 16:10:44;6,00
26/02/2021 16:10:46;8,00
26/02/2021 16:10:48;11,00
26/02/2021 16:10:50;4,00
26/02/2021 16:10:52;11,00
26/02/2021 16:10:54;13,00
26/02/2021 16:10:56;6,00
26/02/2021 16:10:58;9,00
26/02/2021 16:11:00;3,00
26/02/2021 16:11:02;6,00
26/02/2021 16:11:04;0,00
26/02/2021 16:11:06;5,00
26/02/2021 16:11:08;0,00
26/02/2021 16:11:10;5,00
26/02/2021 16:11:12;13,00
26/02/2021 16:11:14;6,00
26/02/2021 16:11:16;8,00
26/02/2021 16:11:18;3,00
26/02/2021 16:11:20;9,00
26/02/2021 16:11:22;11,00
26/02/2021 16:11:24;2,00
26/02/2021 16:11:28;4,00
26/02/2021 16:11:30;1,00
26/02/2021 16:11:32;0,00
26/02/2021 16:11:34;11,00
26/02/2021 16:11:36;6,00
26/02/2021 16:11:38;4,00
26/02/2021 16:11:40;0,00
26/02/2021 16:11:42;10,00
26/02/2021 16:11:44;0,00
26/02/2021 16:11:46;6,00
26/02/2021 16:11:48;11,00
26/02/2021 16:11:50;14,00
26/02/2021 16:11:54;3,00
26/02/2021 16:11:56;6,00
26/02/2021 16:11:58;13,00
26/02/2021 16:12:00;2,00
26/02/2021 16:12:02;4,00
26/02/2021 16:12:04;1,00
26/02/2021 16:12:06;9,00
26/02/2021 16:12:08;11,00
26/02/2021 16:12:10;8,00
26/02/2021 16:12:12;7,00
26/02/2021 16:12:14;3,00
26/02/2021 16:12:16;4,00
26/02/2021 16:12:18;3,00
26/02/2021 16:12:20;13,00
26/02/2021 16:12:22;0,00
26/02/2021 16:12:24;10,00
26/02/2021 16:12:26;1,00
26/02/2021 16:12:28;6,00
26/02/2021 16:12:30;5,00
26/02/2021 16:12:32;8,00
26/02/2021 16:12:34;5,00
26/02/2021 16:12:36;2,00
26/02/2021 16:12:38;14,00
26/02/2021 16:12:40;2,00
26/02/2021 16:12:42;1,00
26/02/2021 16:12:44;9,00
26/02/2021 16:12:46;5,00
26/02/2021 16:12:48;12,00
26/02/2021 16:12:50;8,00
26/02/2021 16:12:52;12,00
26/02/2021 16:12:56;5,00
26/02/2021 16:12:58;9,00
26/02/2021 16:13:00;6,00
26/02/2021 16:13:02;13,00
26/02/2021 16:13:04;0,00
26/02/2021 16:13:06;2,00
26/02/2021 16:13:08;6,00
26/02/2021 16:13:10;0,00
26/02/2021 16:13:12;13,00
26/02/2021 16:13:14;4,00
26/02/2021 16:13:16;14,00
26/02/2021 16:13:18;11,00
26/02/2021 16:13:21;8,00
26/02/2021 16:13:22;7,00
26/02/2021 16:13:25;1,00
26/02/2021 16:13:27;12,00
26/02/2021 16:13:29;9,00
26/02/2021 16:13:31;6,00
26/02/2021 16:13:33;8,00
26/02/2021 16:13:35;1,00
26/02/2021 16:13:37;3,00
26/02/2021 16:13:39;2,00
26/02/2021 16:13:41;13,00
26/02/2021 16:13:43;12,00
26/02/2021 16:13:45;8,00
26/02/2021 16:13:47;9,00
26/02/2021 16:13:49;10,00
26/02/2021 16:13:51;13,00
26/02/2021 16:13:53;7,00
26/02/2021 16:13:55;1,00
26/02/2021 16:13:57;6,00
26/02/2021 16:13:59;1,00
26/02/2021 16:14:03;5,00
26/02/2021 16:14:05;12,00
26/02/2021 16:14:07;11,00
26/02/2021 16:14:09;1,00
26/02/2021 16:14:11;13,00
26/02/2021 16:14:13;3,00
26/02/2021 16:14:15;12,00
26/02/2021 16:14:17;6,00
26/02/2021 16:14:19;4,00
26/02/2021 16:14:21;2,00
26/02/2021 16:14:23;0,00
26/02/2021 16:14:25;10,00
26/02/2021 16:14:27;1,00
26/02/2021 16:14:29;6,00
26/02/2021 16:14:31;14,00
26/02/2021 16:14:33;13,00
26/02/2021 16:14:35;2,00
26/02/2021 16:14:37;6,00
26/02/2021 16:14:39;13,00
26/02/2021 16:14:41;12,00
26/02/2021 16:14:43;6,00
