dd/MM/yyyy HH:mm:ss;CHC1D,16
26/02/2021 16:06:08;46,00
26/02/2021 16:06:22;63,00
26/02/2021 16:06:24;77,00
26/02/2021 16:06:32;80,00
26/02/2021 16:06:34;56,00
26/02/2021 16:06:36;68,00
26/02/2021 16:06:38;63,00
26/02/2021 16:06:46;50,00
26/02/2021 16:06:52;55,00
26/02/2021 16:06:54;73,00
26/02/2021 16:06:56;49,00
26/02/2021 16:06:58;46,00
26/02/2021 16:07:00;66,00
26/02/2021 16:07:02;85,00
26/02/2021 16:07:10;48,00
26/02/2021 16:07:16;65,00
26/02/2021 16:07:20;89,00
26/02/2021 16:07:24;82,00
26/02/2021 16:07:28;47,00
26/02/2021 16:07:32;61,00
26/02/2021 16:07:34;78,00
26/02/2021 16:07:38;73,00
26/02/2021 16:07:42;67,00
26/02/2021 16:07:46;44,00
26/02/2021 16:07:48;77,00
26/02/2021 16:07:52;48,00
26/02/2021 16:07:54;51,00
26/02/2021 16:07:58;43,00
26/02/2021 16:08:00;88,00
26/02/2021 16:08:06;55,00
26/02/2021 16:08:14;59,00
26/02/2021 16:08:16;68,00
26/02/2021 16:08:18;78,00
26/02/2021 16:08:22;67,00
26/02/2021 16:08:26;88,00
26/02/2021 16:08:33;59,00
26/02/2021 16:08:41;73,00
26/02/2021 16:08:45;58,00
26/02/2021 16:08:47;87,00
26/02/2021 16:08:49;77,00
26/02/2021 16:08:51;58,00
26/02/2021 16:08:53;63,00
26/02/2021 16:08:57;50,00
26/02/2021 16:08:59;80,00
26/02/2021 16:09:01;45,00
26/02/2021 16:09:11;46,00
26/02/2021 16:09:13;68,00
26/02/2021 16:09:17;86,00
26/02/2021 16:09:29;46,00
26/02/2021 16:09:39;48,00
26/02/2021 16:09:43;49,00
26/02/2021 16:09:49;78,00
26/02/2021 16:09:53;55,00
26/02/2021 16:09:57;60,00
26/02/2021 16:10:01;80,00
26/02/2021 16:10:05;42,00
26/02/2021 16:10:07;63,00
26/02/2021 16:10:15;61,00
26/02/2021 16:10:19;82,00
26/02/2021 16:10:21;59,00
26/02/2021 16:10:25;80,00
26/02/2021 16:10:35;73,00
26/02/2021 16:10:39;72,00
26/02/2021 16:10:41;87,00
26/02/2021 16:10:44;82,00
26/02/2021 16:10:54;81,00
26/02/2021 16:10:56;85,00
26/02/2021 16:10:58;50,00
26/02/2021 16:11:02;66,00
26/02/2021 16:11:08;45,00
26/02/2021 16:11:10;66,00
26/02/2021 16:11:12;59,00
26/02/2021 16:11:14;44,00
26/02/2021 16:11:34;48,00
26/02/2021 16:11:36;41,00
26/02/2021 16:11:38;46,00
26/02/2021 16:11:42;59,00
26/02/2021 16:11:48;84,00
26/02/2021 16:11:58;89,00
26/02/2021 16:12:02;55,00
26/02/2021 16:12:04;89,00
26/02/2021 16:12:12;53,00
26/02/2021 16:12:14;68,00
26/02/2021 16:12:16;89,00
26/02/2021 16:12:20;75,00
26/02/2021 16:12:32;57,00
26/02/2021 16:12:34;88,00
26/02/2021 16:12:38;67,00
26/02/2021 16:12:40;68,00
26/02/2021 16:12:44;74,00
26/02/2021 16:12:48;58,00
26/02/2021 16:12:52;45,00
26/02/2021 16:13:00;83,00
26/02/2021 16:13:04;43,00
26/02/2021 16:13:10;54,00
26/02/2021 16:13:14;64,00
26/02/2021 16:13:22;63,00
26/02/2021 16:13:25;45,00
26/02/2021 16:13:29;55,00
26/02/2021 16:13:31;47,00
26/02/2021 16:13:33;84,00
26/02/2021 16:13:35;52,00
26/02/2021 16:13:37;66,00
26/02/2021 16:13:41;70,00
26/02/2021 16:13:47;51,00
26/02/2021 16:13:49;60,00
26/02/2021 16:13:53;66,00
26/02/2021 16:13:55;82,00
26/02/2021 16:14:01;59,00
26/02/2021 16:14:03;48,00
26/02/2021 16:14:05;54,00
26/02/2021 16:14:09;89,00
26/02/2021 16:14:11;82,00
26/02/2021 16:14:13;89,00
26/02/2021 16:14:17;54,00
26/02/2021 16:14:23;41,00
26/02/2021 16:14:27;65,00
26/02/2021 16:14:33;74,00
26/02/2021 16:14:39;63,00
26/02/2021 16:14:41;72,00
