dd/MM/yyyy HH:mm:ss;CHC1E,16
26/02/2021 16:09:47;42,00
26/02/2021 16:09:51;76,00
26/02/2021 16:09:55;42,00
26/02/2021 16:09:59;56,00
26/02/2021 16:10:07;86,00
26/02/2021 16:10:13;71,00
26/02/2021 16:10:19;78,00
26/02/2021 16:10:21;88,00
26/02/2021 16:10:23;74,00
26/02/2021 16:10:31;77,00
26/02/2021 16:10:33;54,00
26/02/2021 16:10:37;58,00
26/02/2021 16:10:39;57,00
26/02/2021 16:10:46;73,00
26/02/2021 16:10:50;55,00
26/02/2021 16:10:54;42,00
26/02/2021 16:10:56;70,00
26/02/2021 16:10:58;47,00
26/02/2021 16:11:00;79,00
26/02/2021 16:11:02;41,00
26/02/2021 16:11:04;44,00
26/02/2021 16:11:08;41,00
26/02/2021 16:11:10;51,00
26/02/2021 16:11:12;85,00
26/02/2021 16:11:14;67,00
26/02/2021 16:11:16;43,00
26/02/2021 16:11:18;46,00
26/02/2021 16:11:20;60,00
26/02/2021 16:11:24;52,00
26/02/2021 16:11:28;41,00
26/02/2021 16:11:30;44,00
26/02/2021 16:11:32;77,00
26/02/2021 16:11:34;53,00
26/02/2021 16:11:36;47,00
26/02/2021 16:11:38;49,00
26/02/2021 16:11:46;72,00
26/02/2021 16:11:50;80,00
26/02/2021 16:11:52;74,00
26/02/2021 16:11:56;81,00
26/02/2021 16:11:58;53,00
26/02/2021 16:12:00;43,00
26/02/2021 16:12:04;73,00
26/02/2021 16:12:08;85,00
26/02/2021 16:12:10;57,00
26/02/2021 16:12:12;59,00
26/02/2021 16:12:14;55,00
26/02/2021 16:12:16;67,00
26/02/2021 16:12:18;68,00
26/02/2021 16:12:20;73,00
26/02/2021 16:12:24;80,00
26/02/2021 16:12:26;68,00
26/02/2021 16:12:28;58,00
26/02/2021 16:12:32;65,00
26/02/2021 16:12:34;45,00
26/02/2021 16:12:36;53,00
26/02/2021 16:12:38;59,00
26/02/2021 16:12:48;45,00
26/02/2021 16:12:52;65,00
26/02/2021 16:12:56;58,00
26/02/2021 16:13:00;51,00
26/02/2021 16:13:08;84,00
26/02/2021 16:13:14;87,00
26/02/2021 16:13:16;65,00
26/02/2021 16:13:22;77,00
26/02/2021 16:13:25;70,00
26/02/2021 16:13:27;83,00
26/02/2021 16:13:31;88,00
26/02/2021 16:13:33;42,00
26/02/2021 16:13:37;59,00
26/02/2021 16:13:39;69,00
26/02/2021 16:13:41;68,00
26/02/2021 16:13:45;62,00
26/02/2021 16:13:53;74,00
26/02/2021 16:13:55;58,00
26/02/2021 16:13:57;83,00
26/02/2021 16:14:05;61,00
26/02/2021 16:14:09;62,00
26/02/2021 16:14:13;88,00
26/02/2021 16:14:17;60,00
26/02/2021 16:14:19;88,00
26/02/2021 16:14:23;68,00
26/02/2021 16:14:27;72,00
26/02/2021 16:14:29;62,00
26/02/2021 16:14:31;60,00
26/02/2021 16:14:33;43,00
26/02/2021 16:14:35;59,00
26/02/2021 16:14:39;47,00
26/02/2021 16:14:43;53,00
