dd/MM/yyyy HH:mm:ss;CTC4O,16
26/02/2021 16:14:21;8,00
26/02/2021 16:14:23;12,00
26/02/2021 16:14:25;3,00
26/02/2021 16:14:27;1,00
26/02/2021 16:14:29;11,00
26/02/2021 16:14:31;3,00
26/02/2021 16:14:33;8,00
26/02/2021 16:14:35;1,00
26/02/2021 16:14:37;6,00
26/02/2021 16:14:39;12,00
26/02/2021 16:14:41;4,00
26/02/2021 16:14:43;6,00
