dd/MM/yyyy HH:mm:ss;CTC2I,16
26/02/2021 16:08:53;10,00
26/02/2021 16:08:55;14,00
26/02/2021 16:08:57;2,00
26/02/2021 16:08:59;1,00
26/02/2021 16:09:01;14,00
26/02/2021 16:09:03;8,00
26/02/2021 16:09:05;10,00
26/02/2021 16:09:07;12,00
26/02/2021 16:09:09;8,00
26/02/2021 16:09:11;14,00
26/02/2021 16:09:13;9,00
26/02/2021 16:09:15;6,00
26/02/2021 16:09:17;10,00
26/02/2021 16:09:19;14,00
26/02/2021 16:09:21;2,00
26/02/2021 16:09:23;4,00
26/02/2021 16:09:25;12,00
26/02/2021 16:09:29;0,00
26/02/2021 16:09:33;11,00
26/02/2021 16:09:35;13,00
26/02/2021 16:09:37;12,00
26/02/2021 16:09:39;6,00
26/02/2021 16:09:41;7,00
26/02/2021 16:09:43;10,00
26/02/2021 16:09:45;11,00
26/02/2021 16:09:47;4,00
26/02/2021 16:09:49;7,00
26/02/2021 16:09:53;11,00
26/02/2021 16:09:55;3,00
26/02/2021 16:09:57;10,00
26/02/2021 16:09:59;1,00
26/02/2021 16:10:01;4,00
26/02/2021 16:10:03;14,00
26/02/2021 16:10:05;11,00
26/02/2021 16:10:07;0,00
26/02/2021 16:10:09;11,00
26/02/2021 16:10:11;14,00
26/02/2021 16:10:13;2,00
26/02/2021 16:10:15;11,00
26/02/2021 16:10:17;3,00
26/02/2021 16:10:19;0,00
26/02/2021 16:10:23;13,00
26/02/2021 16:10:25;4,00
26/02/2021 16:10:27;9,00
26/02/2021 16:10:31;11,00
26/02/2021 16:10:33;7,00
26/02/2021 16:10:35;14,00
26/02/2021 16:10:37;11,00
26/02/2021 16:10:39;14,00
26/02/2021 16:10:41;5,00
26/02/2021 16:10:44;6,00
26/02/2021 16:10:46;9,00
26/02/2021 16:10:48;0,00
26/02/2021 16:10:50;13,00
26/02/2021 16:10:52;3,00
26/02/2021 16:10:54;11,00
26/02/2021 16:10:56;4,00
26/02/2021 16:10:58;1,00
26/02/2021 16:11:00;7,00
26/02/2021 16:11:02;5,00
26/02/2021 16:11:04;10,00
26/02/2021 16:11:06;14,00
26/02/2021 16:11:08;1,00
26/02/2021 16:11:10;4,00
26/02/2021 16:11:12;11,00
26/02/2021 16:11:14;10,00
26/02/2021 16:11:16;0,00
26/02/2021 16:11:18;14,00
26/02/2021 16:11:20;9,00
26/02/2021 16:11:22;14,00
26/02/2021 16:11:24;7,00
26/02/2021 16:11:26;2,00
26/02/2021 16:11:28;10,00
26/02/2021 16:11:30;6,00
26/02/2021 16:11:32;2,00
26/02/2021 16:11:34;12,00
26/02/2021 16:11:36;14,00
26/02/2021 16:11:38;13,00
26/02/2021 16:11:40;9,00
26/02/2021 16:11:42;3,00
26/02/2021 16:11:44;14,00
26/02/2021 16:11:46;3,00
26/02/2021 16:11:48;9,00
26/02/2021 16:11:50;10,00
26/02/2021 16:11:52;12,00
26/02/2021 16:11:54;14,00
26/02/2021 16:11:56;5,00
26/02/2021 16:11:58;9,00
26/02/2021 16:12:00;14,00
26/02/2021 16:12:02;11,00
26/02/2021 16:12:04;2,00
26/02/2021 16:12:06;14,00
26/02/2021 16:12:08;5,00
26/02/2021 16:12:10;7,00
26/02/2021 16:12:12;12,00
26/02/2021 16:12:14;4,00
26/02/2021 16:12:16;5,00
26/02/2021 16:12:18;8,00
26/02/2021 16:12:20;11,00
26/02/2021 16:12:24;12,00
26/02/2021 16:12:26;9,00
26/02/2021 16:12:28;0,00
26/02/2021 16:12:32;10,00
26/02/2021 16:12:34;12,00
26/02/2021 16:12:36;14,00
26/02/2021 16:12:38;12,00
26/02/2021 16:12:40;8,00
26/02/2021 16:12:42;9,00
26/02/2021 16:12:44;0,00
26/02/2021 16:12:48;2,00
26/02/2021 16:12:50;12,00
26/02/2021 16:12:52;1,00
26/02/2021 16:12:54;9,00
26/02/2021 16:12:56;1,00
26/02/2021 16:12:58;7,00
26/02/2021 16:13:00;5,00
26/02/2021 16:13:02;14,00
26/02/2021 16:13:04;12,00
26/02/2021 16:13:06;5,00
26/02/2021 16:13:08;1,00
26/02/2021 16:13:10;4,00
26/02/2021 16:13:14;0,00
26/02/2021 16:13:16;13,00
26/02/2021 16:13:18;8,00
26/02/2021 16:13:21;11,00
26/02/2021 16:13:22;12,00
26/02/2021 16:13:25;6,00
26/02/2021 16:13:27;11,00
26/02/2021 16:13:29;13,00
26/02/2021 16:13:31;4,00
26/02/2021 16:13:35;13,00
26/02/2021 16:13:37;3,00
26/02/2021 16:13:39;7,00
26/02/2021 16:13:41;11,00
26/02/2021 16:13:45;5,00
26/02/2021 16:13:47;2,00
26/02/2021 16:13:49;9,00
26/02/2021 16:13:51;5,00
26/02/2021 16:13:53;4,00
26/02/2021 16:13:55;12,00
26/02/2021 16:13:57;5,00
26/02/2021 16:13:59;8,00
26/02/2021 16:14:01;3,00
26/02/2021 16:14:03;5,00
26/02/2021 16:14:07;6,00
26/02/2021 16:14:09;4,00
26/02/2021 16:14:11;6,00
26/02/2021 16:14:15;8,00
26/02/2021 16:14:19;13,00
26/02/2021 16:14:21;12,00
26/02/2021 16:14:23;9,00
26/02/2021 16:14:25;0,00
26/02/2021 16:14:27;9,00
26/02/2021 16:14:29;13,00
26/02/2021 16:14:31;10,00
26/02/2021 16:14:33;0,00
26/02/2021 16:14:35;9,00
26/02/2021 16:14:37;5,00
26/02/2021 16:14:39;14,00
26/02/2021 16:14:41;3,00
26/02/2021 16:14:43;6,00
