dd/MM/yyyy HH:mm:ss;CTC2J,16
26/02/2021 16:08:04;8,00
26/02/2021 16:08:06;0,00
26/02/2021 16:08:08;4,00
26/02/2021 16:08:10;12,00
26/02/2021 16:08:12;1,00
26/02/2021 16:08:16;14,00
26/02/2021 16:08:18;11,00
26/02/2021 16:08:20;14,00
26/02/2021 16:08:22;13,00
26/02/2021 16:08:24;9,00
26/02/2021 16:08:26;5,00
26/02/2021 16:08:28;12,00
26/02/2021 16:08:30;3,00
26/02/2021 16:08:33;0,00
26/02/2021 16:08:34;3,00
26/02/2021 16:08:37;8,00
26/02/2021 16:08:39;3,00
26/02/2021 16:08:41;10,00
26/02/2021 16:08:43;9,00
26/02/2021 16:08:45;3,00
26/02/2021 16:08:47;12,00
26/02/2021 16:08:49;0,00
26/02/2021 16:08:51;10,00
26/02/2021 16:08:53;12,00
26/02/2021 16:08:55;10,00
26/02/2021 16:08:59;1,00
26/02/2021 16:09:01;12,00
26/02/2021 16:09:03;5,00
26/02/2021 16:09:05;8,00
26/02/2021 16:09:07;12,00
26/02/2021 16:09:09;1,00
26/02/2021 16:09:11;0,00
26/02/2021 16:09:13;10,00
26/02/2021 16:09:15;7,00
26/02/2021 16:09:17;11,00
26/02/2021 16:09:21;13,00
26/02/2021 16:09:23;2,00
26/02/2021 16:09:25;6,00
26/02/2021 16:09:27;2,00
26/02/2021 16:09:29;8,00
26/02/2021 16:09:31;12,00
26/02/2021 16:09:33;2,00
26/02/2021 16:09:37;3,00
26/02/2021 16:09:39;8,00
26/02/2021 16:09:41;11,00
26/02/2021 16:09:45;3,00
26/02/2021 16:09:47;5,00
26/02/2021 16:09:49;13,00
26/02/2021 16:09:51;11,00
26/02/2021 16:09:53;1,00
26/02/2021 16:09:55;3,00
26/02/2021 16:09:57;7,00
26/02/2021 16:09:59;0,00
26/02/2021 16:10:01;3,00
26/02/2021 16:10:03;4,00
26/02/2021 16:10:05;6,00
26/02/2021 16:10:07;11,00
26/02/2021 16:10:11;0,00
26/02/2021 16:10:13;1,00
26/02/2021 16:10:15;2,00
26/02/2021 16:10:17;1,00
26/02/2021 16:10:19;6,00
26/02/2021 16:10:21;2,00
26/02/2021 16:10:23;7,00
26/02/2021 16:10:25;11,00
26/02/2021 16:10:27;3,00
26/02/2021 16:10:29;13,00
26/02/2021 16:10:31;6,00
26/02/2021 16:10:33;9,00
26/02/2021 16:10:35;10,00
26/02/2021 16:10:37;12,00
26/02/2021 16:10:39;9,00
26/02/2021 16:10:41;0,00
26/02/2021 16:10:44;8,00
26/02/2021 16:10:46;0,00
26/02/2021 16:10:48;5,00
26/02/2021 16:10:50;3,00
26/02/2021 16:10:52;11,00
26/02/2021 16:10:54;14,00
26/02/2021 16:10:56;10,00
26/02/2021 16:10:58;7,00
26/02/2021 16:11:00;1,00
26/02/2021 16:11:02;11,00
26/02/2021 16:11:04;4,00
26/02/2021 16:11:06;3,00
26/02/2021 16:11:08;13,00
26/02/2021 16:11:12;6,00
26/02/2021 16:11:14;10,00
26/02/2021 16:11:16;1,00
26/02/2021 16:11:18;2,00
26/02/2021 16:11:20;13,00
26/02/2021 16:11:22;4,00
26/02/2021 16:11:24;14,00
26/02/2021 16:11:26;9,00
26/02/2021 16:11:28;5,00
26/02/2021 16:11:30;8,00
26/02/2021 16:11:32;9,00
26/02/2021 16:11:34;8,00
26/02/2021 16:11:36;4,00
26/02/2021 16:11:38;11,00
26/02/2021 16:11:40;12,00
26/02/2021 16:11:42;1,00
26/02/2021 16:11:44;12,00
26/02/2021 16:11:46;1,00
26/02/2021 16:11:48;5,00
26/02/2021 16:11:50;14,00
26/02/2021 16:11:54;9,00
26/02/2021 16:11:56;8,00
26/02/2021 16:11:58;14,00
26/02/2021 16:12:00;3,00
26/02/2021 16:12:02;8,00
26/02/2021 16:12:04;5,00
26/02/2021 16:12:06;8,00
26/02/2021 16:12:08;9,00
26/02/2021 16:12:10;2,00
26/02/2021 16:12:12;14,00
26/02/2021 16:12:14;4,00
26/02/2021 16:12:16;1,00
26/02/2021 16:12:18;8,00
26/02/2021 16:12:20;3,00
26/02/2021 16:12:22;1,00
26/02/2021 16:12:24;4,00
26/02/2021 16:12:26;14,00
26/02/2021 16:12:28;3,00
26/02/2021 16:12:30;10,00
26/02/2021 16:12:36;8,00
26/02/2021 16:12:38;9,00
26/02/2021 16:12:40;6,00
26/02/2021 16:12:42;2,00
26/02/2021 16:12:44;4,00
26/02/2021 16:12:48;6,00
26/02/2021 16:12:50;9,00
26/02/2021 16:12:52;14,00
26/02/2021 16:12:54;1,00
26/02/2021 16:12:56;11,00
26/02/2021 16:12:58;12,00
26/02/2021 16:13:00;3,00
26/02/2021 16:13:02;2,00
26/02/2021 16:13:04;1,00
26/02/2021 16:13:06;9,00
26/02/2021 16:13:10;10,00
26/02/2021 16:13:12;8,00
26/02/2021 16:13:14;12,00
26/02/2021 16:13:16;10,00
26/02/2021 16:13:18;1,00
26/02/2021 16:13:21;0,00
26/02/2021 16:13:22;11,00
26/02/2021 16:13:25;12,00
26/02/2021 16:13:27;14,00
26/02/2021 16:13:29;5,00
26/02/2021 16:13:31;13,00
26/02/2021 16:13:33;11,00
26/02/2021 16:13:35;1,00
26/02/2021 16:13:37;10,00
26/02/2021 16:13:39;4,00
26/02/2021 16:13:41;6,00
26/02/2021 16:13:43;13,00
26/02/2021 16:13:45;6,00
26/02/2021 16:13:47;2,00
26/02/2021 16:13:49;13,00
26/02/2021 16:13:51;3,00
26/02/2021 16:13:53;9,00
26/02/2021 16:13:55;5,00
26/02/2021 16:13:57;2,00
26/02/2021 16:13:59;12,00
26/02/2021 16:14:01;8,00
26/02/2021 16:14:03;9,00
26/02/2021 16:14:05;14,00
26/02/2021 16:14:07;11,00
26/02/2021 16:14:09;5,00
26/02/2021 16:14:13;8,00
26/02/2021 16:14:15;0,00
26/02/2021 16:14:19;9,00
26/02/2021 16:14:21;7,00
26/02/2021 16:14:23;8,00
26/02/2021 16:14:25;2,00
26/02/2021 16:14:27;12,00
26/02/2021 16:14:29;13,00
26/02/2021 16:14:31;0,00
26/02/2021 16:14:33;6,00
26/02/2021 16:14:35;3,00
26/02/2021 16:14:37;12,00
26/02/2021 16:14:39;8,00
26/02/2021 16:14:41;12,00
26/02/2021 16:14:43;13,00
