dd/MM/yyyy HH:mm:ss;CTC4I,16
26/02/2021 16:05:17;7,00
26/02/2021 16:05:19;11,00
26/02/2021 16:05:21;5,00
26/02/2021 16:05:23;8,00
26/02/2021 16:05:25;12,00
26/02/2021 16:05:27;6,00
26/02/2021 16:05:29;4,00
26/02/2021 16:05:31;2,00
26/02/2021 16:05:33;1,00
26/02/2021 16:05:35;9,00
26/02/2021 16:05:37;7,00
26/02/2021 16:05:39;14,00
26/02/2021 16:05:41;2,00
26/02/2021 16:05:43;0,00
26/02/2021 16:05:45;12,00
26/02/2021 16:05:47;5,00
26/02/2021 16:05:49;6,00
26/02/2021 16:05:51;3,00
26/02/2021 16:05:53;4,00
26/02/2021 16:05:55;1,00
26/02/2021 16:05:57;13,00
26/02/2021 16:05:59;8,00
26/02/2021 16:06:01;7,00
26/02/2021 16:06:04;6,00
26/02/2021 16:06:05;2,00
26/02/2021 16:06:08;9,00
26/02/2021 16:06:10;4,00
26/02/2021 16:06:12;9,00
26/02/2021 16:06:14;5,00
26/02/2021 16:06:16;6,00
26/02/2021 16:06:18;1,00
26/02/2021 16:06:20;12,00
26/02/2021 16:06:22;8,00
26/02/2021 16:06:24;2,00
26/02/2021 16:06:26;3,00
26/02/2021 16:06:28;4,00
26/02/2021 16:06:30;6,00
26/02/2021 16:06:34;12,00
26/02/2021 16:06:36;10,00
26/02/2021 16:06:38;13,00
26/02/2021 16:06:40;12,00
26/02/2021 16:06:42;1,00
26/02/2021 16:06:44;13,00
26/02/2021 16:06:48;2,00
26/02/2021 16:06:50;1,00
26/02/2021 16:06:52;11,00
26/02/2021 16:06:54;7,00
26/02/2021 16:06:56;0,00
26/02/2021 16:06:58;8,00
26/02/2021 16:07:00;4,00
26/02/2021 16:07:04;8,00
26/02/2021 16:07:06;12,00
26/02/2021 16:07:08;11,00
26/02/2021 16:07:10;0,00
26/02/2021 16:07:12;3,00
26/02/2021 16:07:18;7,00
26/02/2021 16:07:20;8,00
26/02/2021 16:07:22;10,00
26/02/2021 16:07:24;0,00
26/02/2021 16:07:26;11,00
26/02/2021 16:07:28;9,00
26/02/2021 16:07:32;12,00
26/02/2021 16:07:34;11,00
26/02/2021 16:07:36;6,00
26/02/2021 16:07:38;2,00
26/02/2021 16:07:40;11,00
26/02/2021 16:07:42;6,00
26/02/2021 16:07:44;12,00
26/02/2021 16:07:46;10,00
26/02/2021 16:07:48;4,00
26/02/2021 16:07:50;6,00
26/02/2021 16:07:52;7,00
26/02/2021 16:07:56;10,00
26/02/2021 16:07:58;9,00
26/02/2021 16:08:00;2,00
26/02/2021 16:08:02;1,00
26/02/2021 16:08:04;2,00
26/02/2021 16:08:06;3,00
26/02/2021 16:08:08;12,00
26/02/2021 16:08:12;5,00
26/02/2021 16:08:14;11,00
26/02/2021 16:08:16;13,00
26/02/2021 16:08:18;1,00
26/02/2021 16:08:20;11,00
26/02/2021 16:08:22;2,00
26/02/2021 16:08:24;9,00
26/02/2021 16:08:26;8,00
26/02/2021 16:08:30;5,00
26/02/2021 16:08:33;10,00
26/02/2021 16:08:34;8,00
26/02/2021 16:08:39;4,00
26/02/2021 16:08:41;11,00
26/02/2021 16:08:43;0,00
26/02/2021 16:08:45;3,00
26/02/2021 16:08:47;4,00
26/02/2021 16:08:49;9,00
26/02/2021 16:08:51;0,00
26/02/2021 16:08:53;6,00
26/02/2021 16:08:55;14,00
26/02/2021 16:08:57;5,00
26/02/2021 16:08:59;8,00
26/02/2021 16:09:01;14,00
26/02/2021 16:09:03;9,00
26/02/2021 16:09:05;5,00
26/02/2021 16:09:07;12,00
26/02/2021 16:09:09;3,00
26/02/2021 16:09:11;0,00
26/02/2021 16:09:13;5,00
26/02/2021 16:09:15;2,00
26/02/2021 16:09:19;0,00
26/02/2021 16:09:21;10,00
26/02/2021 16:09:23;8,00
26/02/2021 16:09:25;3,00
26/02/2021 16:09:27;0,00
26/02/2021 16:09:31;14,00
26/02/2021 16:09:33;10,00
26/02/2021 16:09:35;8,00
26/02/2021 16:09:37;5,00
26/02/2021 16:09:39;9,00
26/02/2021 16:09:43;1,00
26/02/2021 16:09:47;10,00
26/02/2021 16:09:49;0,00
26/02/2021 16:09:51;6,00
26/02/2021 16:09:53;0,00
26/02/2021 16:09:55;12,00
26/02/2021 16:09:57;5,00
26/02/2021 16:09:59;11,00
26/02/2021 16:10:01;14,00
26/02/2021 16:10:03;12,00
26/02/2021 16:10:07;8,00
26/02/2021 16:10:09;0,00
26/02/2021 16:10:11;1,00
26/02/2021 16:10:13;10,00
26/02/2021 16:10:15;4,00
26/02/2021 16:10:17;2,00
26/02/2021 16:10:19;4,00
26/02/2021 16:10:21;5,00
26/02/2021 16:10:23;6,00
26/02/2021 16:10:25;10,00
26/02/2021 16:10:27;3,00
26/02/2021 16:10:31;7,00
26/02/2021 16:10:33;0,00
26/02/2021 16:10:35;4,00
26/02/2021 16:10:37;5,00
26/02/2021 16:10:39;11,00
26/02/2021 16:10:41;0,00
26/02/2021 16:10:44;12,00
26/02/2021 16:10:46;14,00
26/02/2021 16:10:48;0,00
26/02/2021 16:10:50;13,00
26/02/2021 16:10:52;4,00
26/02/2021 16:10:54;1,00
26/02/2021 16:10:56;10,00
26/02/2021 16:10:58;1,00
26/02/2021 16:11:00;3,00
26/02/2021 16:11:02;5,00
26/02/2021 16:11:04;4,00
26/02/2021 16:11:06;6,00
26/02/2021 16:11:08;14,00
26/02/2021 16:11:10;5,00
26/02/2021 16:11:12;12,00
26/02/2021 16:11:14;3,00
26/02/2021 16:11:16;4,00
26/02/2021 16:11:18;11,00
26/02/2021 16:11:20;1,00
26/02/2021 16:11:22;9,00
26/02/2021 16:11:24;6,00
26/02/2021 16:11:26;2,00
26/02/2021 16:11:28;5,00
26/02/2021 16:11:30;6,00
26/02/2021 16:11:32;4,00
26/02/2021 16:11:34;12,00
26/02/2021 16:11:36;13,00
26/02/2021 16:11:38;2,00
26/02/2021 16:11:40;6,00
26/02/2021 16:11:42;1,00
26/02/2021 16:11:46;8,00
26/02/2021 16:11:48;14,00
26/02/2021 16:11:50;12,00
26/02/2021 16:11:52;13,00
26/02/2021 16:11:54;1,00
26/02/2021 16:11:56;13,00
26/02/2021 16:11:58;9,00
26/02/2021 16:12:00;7,00
26/02/2021 16:12:02;13,00
26/02/2021 16:12:04;14,00
26/02/2021 16:12:06;0,00
26/02/2021 16:12:08;10,00
26/02/2021 16:12:10;8,00
26/02/2021 16:12:12;7,00
26/02/2021 16:12:14;3,00
26/02/2021 16:12:16;14,00
26/02/2021 16:12:20;11,00
26/02/2021 16:12:22;13,00
26/02/2021 16:12:26;7,00
26/02/2021 16:12:28;13,00
26/02/2021 16:12:30;4,00
26/02/2021 16:12:32;8,00
26/02/2021 16:12:34;2,00
26/02/2021 16:12:36;12,00
26/02/2021 16:12:38;0,00
26/02/2021 16:12:42;9,00
26/02/2021 16:12:44;5,00
26/02/2021 16:12:48;1,00
26/02/2021 16:12:50;8,00
26/02/2021 16:12:52;3,00
26/02/2021 16:12:54;8,00
26/02/2021 16:12:56;2,00
26/02/2021 16:12:58;9,00
26/02/2021 16:13:00;2,00
26/02/2021 16:13:02;4,00
26/02/2021 16:13:04;5,00
26/02/2021 16:13:06;2,00
26/02/2021 16:13:08;1,00
26/02/2021 16:13:10;4,00
26/02/2021 16:13:12;12,00
26/02/2021 16:13:14;2,00
26/02/2021 16:13:16;5,00
26/02/2021 16:13:18;10,00
26/02/2021 16:13:21;3,00
26/02/2021 16:13:22;11,00
26/02/2021 16:13:25;12,00
26/02/2021 16:13:27;4,00
26/02/2021 16:13:29;14,00
26/02/2021 16:13:33;10,00
26/02/2021 16:13:35;7,00
26/02/2021 16:13:37;11,00
26/02/2021 16:13:39;10,00
26/02/2021 16:13:41;2,00
26/02/2021 16:13:43;14,00
26/02/2021 16:13:45;13,00
26/02/2021 16:13:47;2,00
26/02/2021 16:13:49;4,00
26/02/2021 16:13:51;7,00
26/02/2021 16:13:53;13,00
26/02/2021 16:13:57;4,00
26/02/2021 16:13:59;14,00
26/02/2021 16:14:01;12,00
26/02/2021 16:14:03;3,00
26/02/2021 16:14:05;10,00
26/02/2021 16:14:07;8,00
26/02/2021 16:14:09;14,00
26/02/2021 16:14:11;5,00
26/02/2021 16:14:13;4,00
26/02/2021 16:14:15;14,00
26/02/2021 16:14:17;4,00
26/02/2021 16:14:19;6,00
26/02/2021 16:14:21;2,00
26/02/2021 16:14:23;3,00
26/02/2021 16:14:25;1,00
26/02/2021 16:14:27;5,00
26/02/2021 16:14:29;2,00
26/02/2021 16:14:31;3,00
26/02/2021 16:14:33;10,00
26/02/2021 16:14:35;11,00
26/02/2021 16:14:37;5,00
26/02/2021 16:14:39;4,00
26/02/2021 16:14:41;7,00
26/02/2021 16:14:43;12,00
