dd/MM/yyyy HH:mm:ss;CTC4D,16
26/02/2021 16:06:30;14,00
26/02/2021 16:06:32;6,00
26/02/2021 16:06:36;10,00
26/02/2021 16:06:38;0,00
26/02/2021 16:06:40;9,00
26/02/2021 16:06:42;11,00
26/02/2021 16:06:44;2,00
26/02/2021 16:06:46;13,00
26/02/2021 16:06:48;7,00
26/02/2021 16:06:50;13,00
26/02/2021 16:06:52;7,00
26/02/2021 16:06:54;5,00
26/02/2021 16:06:58;10,00
26/02/2021 16:07:00;6,00
26/02/2021 16:07:02;2,00
26/02/2021 16:07:04;1,00
26/02/2021 16:07:06;6,00
26/02/2021 16:07:08;4,00
26/02/2021 16:07:10;9,00
26/02/2021 16:07:12;3,00
26/02/2021 16:07:14;0,00
26/02/2021 16:07:16;7,00
26/02/2021 16:07:18;3,00
26/02/2021 16:07:20;11,00
26/02/2021 16:07:22;0,00
26/02/2021 16:07:24;8,00
26/02/2021 16:07:26;1,00
26/02/2021 16:07:28;7,00
26/02/2021 16:07:30;6,00
26/02/2021 16:07:32;7,00
26/02/2021 16:07:34;1,00
26/02/2021 16:07:36;3,00
26/02/2021 16:07:38;4,00
26/02/2021 16:07:40;1,00
26/02/2021 16:07:42;0,00
26/02/2021 16:07:44;2,00
26/02/2021 16:07:48;5,00
26/02/2021 16:07:50;12,00
26/02/2021 16:07:52;5,00
26/02/2021 16:07:54;10,00
26/02/2021 16:07:56;7,00
26/02/2021 16:07:58;8,00
26/02/2021 16:08:00;10,00
26/02/2021 16:08:02;1,00
26/02/2021 16:08:04;2,00
26/02/2021 16:08:06;8,00
26/02/2021 16:08:08;6,00
26/02/2021 16:08:10;13,00
26/02/2021 16:08:12;5,00
26/02/2021 16:08:14;8,00
26/02/2021 16:08:16;13,00
26/02/2021 16:08:18;9,00
26/02/2021 16:08:20;8,00
26/02/2021 16:08:22;14,00
26/02/2021 16:08:24;9,00
26/02/2021 16:08:26;12,00
26/02/2021 16:08:28;0,00
26/02/2021 16:08:30;2,00
26/02/2021 16:08:33;7,00
26/02/2021 16:08:34;12,00
26/02/2021 16:08:37;1,00
26/02/2021 16:08:39;5,00
26/02/2021 16:08:41;7,00
26/02/2021 16:08:43;6,00
26/02/2021 16:08:45;1,00
26/02/2021 16:08:47;5,00
26/02/2021 16:08:49;0,00
26/02/2021 16:08:51;3,00
26/02/2021 16:08:53;9,00
26/02/2021 16:08:55;3,00
26/02/2021 16:08:57;12,00
26/02/2021 16:08:59;11,00
26/02/2021 16:09:01;14,00
26/02/2021 16:09:05;3,00
26/02/2021 16:09:07;2,00
26/02/2021 16:09:09;14,00
26/02/2021 16:09:13;10,00
26/02/2021 16:09:15;9,00
26/02/2021 16:09:17;14,00
26/02/2021 16:09:19;8,00
26/02/2021 16:09:21;11,00
26/02/2021 16:09:23;10,00
26/02/2021 16:09:25;8,00
26/02/2021 16:09:27;5,00
26/02/2021 16:09:29;14,00
26/02/2021 16:09:31;5,00
26/02/2021 16:09:33;12,00
26/02/2021 16:09:35;10,00
26/02/2021 16:09:37;14,00
26/02/2021 16:09:39;11,00
26/02/2021 16:09:41;9,00
26/02/2021 16:09:43;1,00
26/02/2021 16:09:45;14,00
26/02/2021 16:09:47;12,00
26/02/2021 16:09:49;9,00
26/02/2021 16:09:51;11,00
26/02/2021 16:09:53;7,00
26/02/2021 16:09:55;4,00
26/02/2021 16:09:57;3,00
26/02/2021 16:09:59;7,00
26/02/2021 16:10:03;6,00
26/02/2021 16:10:05;8,00
26/02/2021 16:10:07;4,00
26/02/2021 16:10:09;7,00
26/02/2021 16:10:13;10,00
26/02/2021 16:10:17;8,00
26/02/2021 16:10:21;1,00
26/02/2021 16:10:23;3,00
26/02/2021 16:10:25;10,00
26/02/2021 16:10:27;13,00
26/02/2021 16:10:29;8,00
26/02/2021 16:10:31;3,00
26/02/2021 16:10:35;5,00
26/02/2021 16:10:37;13,00
26/02/2021 16:10:39;14,00
26/02/2021 16:10:41;6,00
26/02/2021 16:10:44;14,00
26/02/2021 16:10:46;5,00
26/02/2021 16:10:48;13,00
26/02/2021 16:10:50;6,00
26/02/2021 16:10:52;13,00
26/02/2021 16:10:54;1,00
26/02/2021 16:10:56;13,00
26/02/2021 16:10:58;2,00
26/02/2021 16:11:00;11,00
26/02/2021 16:11:02;0,00
26/02/2021 16:11:04;14,00
26/02/2021 16:11:06;12,00
26/02/2021 16:11:08;9,00
26/02/2021 16:11:10;11,00
26/02/2021 16:11:12;14,00
26/02/2021 16:11:16;7,00
26/02/2021 16:11:18;8,00
26/02/2021 16:11:20;9,00
26/02/2021 16:11:22;1,00
26/02/2021 16:11:24;14,00
26/02/2021 16:11:26;4,00
26/02/2021 16:11:28;10,00
26/02/2021 16:11:32;6,00
26/02/2021 16:11:34;11,00
26/02/2021 16:11:36;10,00
26/02/2021 16:11:38;4,00
26/02/2021 16:11:40;13,00
26/02/2021 16:11:42;2,00
26/02/2021 16:11:44;6,00
26/02/2021 16:11:46;8,00
26/02/2021 16:11:48;13,00
26/02/2021 16:11:50;9,00
26/02/2021 16:11:52;12,00
26/02/2021 16:11:54;1,00
26/02/2021 16:11:58;5,00
26/02/2021 16:12:00;10,00
26/02/2021 16:12:02;12,00
26/02/2021 16:12:04;2,00
26/02/2021 16:12:06;4,00
26/02/2021 16:12:08;11,00
26/02/2021 16:12:10;8,00
26/02/2021 16:12:14;14,00
26/02/2021 16:12:16;2,00
26/02/2021 16:12:18;11,00
26/02/2021 16:12:20;9,00
26/02/2021 16:12:22;5,00
26/02/2021 16:12:24;11,00
26/02/2021 16:12:26;8,00
26/02/2021 16:12:28;2,00
26/02/2021 16:12:30;4,00
26/02/2021 16:12:32;6,00
26/02/2021 16:12:34;1,00
26/02/2021 16:12:36;7,00
26/02/2021 16:12:38;12,00
26/02/2021 16:12:40;6,00
26/02/2021 16:12:42;5,00
26/02/2021 16:12:44;8,00
26/02/2021 16:12:46;3,00
26/02/2021 16:12:48;2,00
26/02/2021 16:12:50;9,00
26/02/2021 16:12:52;0,00
26/02/2021 16:12:54;3,00
26/02/2021 16:12:58;6,00
26/02/2021 16:13:00;13,00
26/02/2021 16:13:02;1,00
26/02/2021 16:13:04;6,00
26/02/2021 16:13:06;13,00
26/02/2021 16:13:08;5,00
26/02/2021 16:13:10;12,00
26/02/2021 16:13:12;10,00
26/02/2021 16:13:14;9,00
26/02/2021 16:13:16;7,00
26/02/2021 16:13:18;3,00
26/02/2021 16:13:22;11,00
26/02/2021 16:13:25;12,00
26/02/2021 16:13:29;8,00
26/02/2021 16:13:31;11,00
26/02/2021 16:13:33;9,00
26/02/2021 16:13:37;3,00
26/02/2021 16:13:39;4,00
26/02/2021 16:13:41;8,00
26/02/2021 16:13:43;12,00
26/02/2021 16:13:45;14,00
26/02/2021 16:13:47;12,00
26/02/2021 16:13:49;0,00
26/02/2021 16:13:51;12,00
26/02/2021 16:13:53;4,00
26/02/2021 16:13:55;6,00
26/02/2021 16:13:57;9,00
26/02/2021 16:13:59;14,00
26/02/2021 16:14:01;11,00
26/02/2021 16:14:03;9,00
26/02/2021 16:14:05;14,00
26/02/2021 16:14:07;9,00
26/02/2021 16:14:09;8,00
26/02/2021 16:14:11;3,00
26/02/2021 16:14:13;2,00
26/02/2021 16:14:15;9,00
26/02/2021 16:14:17;10,00
26/02/2021 16:14:21;8,00
26/02/2021 16:14:23;12,00
26/02/2021 16:14:25;1,00
26/02/2021 16:14:27;6,00
26/02/2021 16:14:29;11,00
26/02/2021 16:14:31;7,00
26/02/2021 16:14:33;6,00
26/02/2021 16:14:35;9,00
26/02/2021 16:14:37;5,00
26/02/2021 16:14:39;9,00
26/02/2021 16:14:41;10,00
26/02/2021 16:14:43;8,00
