dd/MM/yyyy HH:mm:ss;CTC4J,16
26/02/2021 16:06:28;10,00
26/02/2021 16:06:30;5,00
26/02/2021 16:06:32;1,00
26/02/2021 16:06:34;14,00
26/02/2021 16:06:38;12,00
26/02/2021 16:06:40;8,00
26/02/2021 16:06:42;9,00
26/02/2021 16:06:44;10,00
26/02/2021 16:06:46;4,00
26/02/2021 16:06:48;8,00
26/02/2021 16:06:50;11,00
26/02/2021 16:06:52;4,00
26/02/2021 16:06:54;1,00
26/02/2021 16:06:56;3,00
26/02/2021 16:07:00;11,00
26/02/2021 16:07:02;2,00
26/02/2021 16:07:04;5,00
26/02/2021 16:07:06;0,00
26/02/2021 16:07:08;13,00
26/02/2021 16:07:10;2,00
26/02/2021 16:07:14;5,00
26/02/2021 16:07:16;3,00
26/02/2021 16:07:18;0,00
26/02/2021 16:07:20;4,00
26/02/2021 16:07:22;11,00
26/02/2021 16:07:24;9,00
26/02/2021 16:07:26;11,00
26/02/2021 16:07:28;0,00
26/02/2021 16:07:30;11,00
26/02/2021 16:07:34;10,00
26/02/2021 16:07:36;2,00
26/02/2021 16:07:38;14,00
26/02/2021 16:07:40;2,00
26/02/2021 16:07:42;5,00
26/02/2021 16:07:44;7,00
26/02/2021 16:07:46;10,00
26/02/2021 16:07:48;14,00
26/02/2021 16:07:50;3,00
26/02/2021 16:07:52;6,00
26/02/2021 16:07:56;8,00
26/02/2021 16:07:58;6,00
26/02/2021 16:08:00;7,00
26/02/2021 16:08:02;8,00
26/02/2021 16:08:04;12,00
26/02/2021 16:08:08;2,00
26/02/2021 16:08:10;11,00
26/02/2021 16:08:12;7,00
26/02/2021 16:08:14;8,00
26/02/2021 16:08:16;1,00
26/02/2021 16:08:18;8,00
26/02/2021 16:08:20;11,00
26/02/2021 16:08:22;1,00
26/02/2021 16:08:26;4,00
26/02/2021 16:08:30;14,00
26/02/2021 16:08:33;13,00
26/02/2021 16:08:37;1,00
26/02/2021 16:08:39;13,00
26/02/2021 16:08:41;7,00
26/02/2021 16:08:43;3,00
26/02/2021 16:08:45;11,00
26/02/2021 16:08:47;6,00
26/02/2021 16:08:49;9,00
26/02/2021 16:08:51;1,00
26/02/2021 16:08:53;12,00
26/02/2021 16:08:55;10,00
26/02/2021 16:08:59;6,00
26/02/2021 16:09:01;8,00
26/02/2021 16:09:03;11,00
26/02/2021 16:09:05;0,00
26/02/2021 16:09:07;1,00
26/02/2021 16:09:09;2,00
26/02/2021 16:09:11;14,00
26/02/2021 16:09:13;2,00
26/02/2021 16:09:15;4,00
26/02/2021 16:09:17;8,00
26/02/2021 16:09:21;2,00
26/02/2021 16:09:23;7,00
26/02/2021 16:09:25;0,00
26/02/2021 16:09:27;13,00
26/02/2021 16:09:29;1,00
26/02/2021 16:09:31;8,00
26/02/2021 16:09:33;3,00
26/02/2021 16:09:35;10,00
26/02/2021 16:09:37;6,00
26/02/2021 16:09:39;11,00
26/02/2021 16:09:41;6,00
26/02/2021 16:09:43;1,00
26/02/2021 16:09:45;4,00
26/02/2021 16:09:47;9,00
26/02/2021 16:09:49;6,00
26/02/2021 16:09:53;0,00
26/02/2021 16:09:55;2,00
26/02/2021 16:09:57;3,00
26/02/2021 16:09:59;0,00
26/02/2021 16:10:03;13,00
26/02/2021 16:10:05;7,00
26/02/2021 16:10:07;13,00
26/02/2021 16:10:09;4,00
26/02/2021 16:10:11;9,00
26/02/2021 16:10:15;13,00
26/02/2021 16:10:17;6,00
26/02/2021 16:10:19;8,00
26/02/2021 16:10:21;3,00
26/02/2021 16:10:23;5,00
26/02/2021 16:10:25;14,00
26/02/2021 16:10:27;3,00
26/02/2021 16:10:29;13,00
26/02/2021 16:10:31;1,00
26/02/2021 16:10:33;2,00
26/02/2021 16:10:35;13,00
26/02/2021 16:10:37;9,00
26/02/2021 16:10:39;13,00
26/02/2021 16:10:41;7,00
26/02/2021 16:10:44;11,00
26/02/2021 16:10:46;2,00
26/02/2021 16:10:48;3,00
26/02/2021 16:10:52;1,00
26/02/2021 16:10:54;7,00
26/02/2021 16:10:56;4,00
26/02/2021 16:10:58;12,00
26/02/2021 16:11:00;4,00
26/02/2021 16:11:02;11,00
26/02/2021 16:11:04;1,00
26/02/2021 16:11:06;14,00
26/02/2021 16:11:08;10,00
26/02/2021 16:11:10;1,00
26/02/2021 16:11:12;14,00
26/02/2021 16:11:14;13,00
26/02/2021 16:11:16;3,00
26/02/2021 16:11:20;13,00
26/02/2021 16:11:22;10,00
26/02/2021 16:11:24;11,00
26/02/2021 16:11:26;2,00
26/02/2021 16:11:28;7,00
26/02/2021 16:11:30;13,00
26/02/2021 16:11:32;0,00
26/02/2021 16:11:34;12,00
26/02/2021 16:11:36;11,00
26/02/2021 16:11:38;1,00
26/02/2021 16:11:40;5,00
26/02/2021 16:11:42;0,00
26/02/2021 16:11:44;6,00
26/02/2021 16:11:48;5,00
26/02/2021 16:11:50;7,00
26/02/2021 16:11:52;12,00
26/02/2021 16:11:54;4,00
26/02/2021 16:11:56;2,00
26/02/2021 16:11:58;7,00
26/02/2021 16:12:00;0,00
26/02/2021 16:12:02;12,00
26/02/2021 16:12:04;3,00
26/02/2021 16:12:06;9,00
26/02/2021 16:12:08;7,00
26/02/2021 16:12:10;2,00
26/02/2021 16:12:12;7,00
26/02/2021 16:12:14;2,00
26/02/2021 16:12:16;4,00
26/02/2021 16:12:18;10,00
26/02/2021 16:12:20;2,00
26/02/2021 16:12:22;11,00
26/02/2021 16:12:24;4,00
26/02/2021 16:12:26;9,00
26/02/2021 16:12:28;8,00
26/02/2021 16:12:30;13,00
26/02/2021 16:12:32;11,00
26/02/2021 16:12:34;9,00
26/02/2021 16:12:36;7,00
26/02/2021 16:12:38;4,00
26/02/2021 16:12:40;2,00
26/02/2021 16:12:42;0,00
26/02/2021 16:12:44;11,00
26/02/2021 16:12:46;6,00
26/02/2021 16:12:48;11,00
26/02/2021 16:12:50;0,00
26/02/2021 16:12:52;5,00
26/02/2021 16:12:54;2,00
26/02/2021 16:12:56;4,00
26/02/2021 16:12:58;11,00
26/02/2021 16:13:00;4,00
26/02/2021 16:13:02;0,00
26/02/2021 16:13:06;2,00
26/02/2021 16:13:08;7,00
26/02/2021 16:13:10;5,00
26/02/2021 16:13:14;10,00
26/02/2021 16:13:16;1,00
26/02/2021 16:13:18;7,00
26/02/2021 16:13:21;0,00
26/02/2021 16:13:22;3,00
26/02/2021 16:13:29;7,00
26/02/2021 16:13:31;12,00
26/02/2021 16:13:33;11,00
26/02/2021 16:13:35;0,00
26/02/2021 16:13:37;10,00
26/02/2021 16:13:39;14,00
26/02/2021 16:13:41;9,00
26/02/2021 16:13:43;6,00
26/02/2021 16:13:45;8,00
26/02/2021 16:13:47;10,00
26/02/2021 16:13:51;12,00
26/02/2021 16:13:53;10,00
26/02/2021 16:13:55;4,00
26/02/2021 16:13:57;13,00
26/02/2021 16:13:59;6,00
26/02/2021 16:14:01;2,00
26/02/2021 16:14:03;8,00
26/02/2021 16:14:05;5,00
26/02/2021 16:14:07;13,00
26/02/2021 16:14:09;14,00
26/02/2021 16:14:11;9,00
26/02/2021 16:14:13;11,00
26/02/2021 16:14:15;0,00
26/02/2021 16:14:17;5,00
26/02/2021 16:14:19;14,00
26/02/2021 16:14:21;4,00
26/02/2021 16:14:23;0,00
26/02/2021 16:14:25;12,00
26/02/2021 16:14:27;4,00
26/02/2021 16:14:29;1,00
26/02/2021 16:14:31;4,00
26/02/2021 16:14:33;0,00
26/02/2021 16:14:35;8,00
26/02/2021 16:14:37;1,00
26/02/2021 16:14:39;4,00
26/02/2021 16:14:41;8,00
26/02/2021 16:14:43;10,00
