dd/MM/yyyy HH:mm:ss;CTC4F,16
26/02/2021 16:09:51;3,00
26/02/2021 16:09:53;13,00
26/02/2021 16:09:55;5,00
26/02/2021 16:09:57;0,00
26/02/2021 16:09:59;6,00
26/02/2021 16:10:01;1,00
26/02/2021 16:10:05;7,00
26/02/2021 16:10:07;0,00
26/02/2021 16:10:09;12,00
26/02/2021 16:10:11;6,00
26/02/2021 16:10:13;9,00
26/02/2021 16:10:15;11,00
26/02/2021 16:10:17;4,00
26/02/2021 16:10:19;12,00
26/02/2021 16:10:21;5,00
26/02/2021 16:10:23;1,00
26/02/2021 16:10:25;0,00
26/02/2021 16:10:27;7,00
26/02/2021 16:10:29;5,00
26/02/2021 16:10:33;3,00
26/02/2021 16:10:37;10,00
26/02/2021 16:10:39;7,00
26/02/2021 16:10:41;13,00
26/02/2021 16:10:44;10,00
26/02/2021 16:10:46;11,00
26/02/2021 16:10:48;4,00
26/02/2021 16:10:50;5,00
26/02/2021 16:10:52;11,00
26/02/2021 16:10:54;8,00
26/02/2021 16:10:56;2,00
26/02/2021 16:10:58;12,00
26/02/2021 16:11:00;4,00
26/02/2021 16:11:02;10,00
26/02/2021 16:11:04;9,00
26/02/2021 16:11:08;2,00
26/02/2021 16:11:10;8,00
26/02/2021 16:11:12;6,00
26/02/2021 16:11:14;9,00
26/02/2021 16:11:18;8,00
26/02/2021 16:11:20;2,00
26/02/2021 16:11:22;7,00
26/02/2021 16:11:24;12,00
26/02/2021 16:11:26;2,00
26/02/2021 16:11:28;5,00
26/02/2021 16:11:30;6,00
26/02/2021 16:11:32;0,00
26/02/2021 16:11:34;9,00
26/02/2021 16:11:36;11,00
26/02/2021 16:11:38;2,00
26/02/2021 16:11:42;13,00
26/02/2021 16:11:44;9,00
26/02/2021 16:11:46;4,00
26/02/2021 16:11:48;5,00
26/02/2021 16:11:50;13,00
26/02/2021 16:11:52;0,00
26/02/2021 16:11:54;11,00
26/02/2021 16:11:58;14,00
26/02/2021 16:12:00;12,00
26/02/2021 16:12:02;5,00
26/02/2021 16:12:04;12,00
26/02/2021 16:12:06;1,00
26/02/2021 16:12:08;4,00
26/02/2021 16:12:10;11,00
26/02/2021 16:12:12;13,00
26/02/2021 16:12:14;6,00
26/02/2021 16:12:16;12,00
26/02/2021 16:12:20;2,00
26/02/2021 16:12:22;10,00
26/02/2021 16:12:26;6,00
26/02/2021 16:12:30;8,00
26/02/2021 16:12:32;12,00
26/02/2021 16:12:34;2,00
26/02/2021 16:12:36;1,00
26/02/2021 16:12:38;6,00
26/02/2021 16:12:40;3,00
26/02/2021 16:12:42;7,00
26/02/2021 16:12:44;9,00
26/02/2021 16:12:46;7,00
26/02/2021 16:12:48;2,00
26/02/2021 16:12:50;3,00
26/02/2021 16:12:52;13,00
26/02/2021 16:12:54;8,00
26/02/2021 16:12:56;5,00
26/02/2021 16:12:58;2,00
26/02/2021 16:13:00;12,00
26/02/2021 16:13:02;5,00
26/02/2021 16:13:04;2,00
26/02/2021 16:13:06;11,00
26/02/2021 16:13:08;12,00
26/02/2021 16:13:10;11,00
26/02/2021 16:13:12;6,00
26/02/2021 16:13:14;7,00
26/02/2021 16:13:16;1,00
26/02/2021 16:13:18;5,00
26/02/2021 16:13:21;4,00
26/02/2021 16:13:25;9,00
26/02/2021 16:13:27;4,00
26/02/2021 16:13:29;13,00
26/02/2021 16:13:33;2,00
26/02/2021 16:13:35;1,00
26/02/2021 16:13:37;2,00
26/02/2021 16:13:39;13,00
26/02/2021 16:13:41;5,00
26/02/2021 16:13:43;0,00
26/02/2021 16:13:45;7,00
26/02/2021 16:13:47;12,00
26/02/2021 16:13:49;14,00
26/02/2021 16:13:51;7,00
26/02/2021 16:13:53;9,00
26/02/2021 16:13:55;11,00
26/02/2021 16:13:59;10,00
26/02/2021 16:14:01;14,00
26/02/2021 16:14:03;4,00
26/02/2021 16:14:05;6,00
26/02/2021 16:14:07;10,00
26/02/2021 16:14:09;12,00
26/02/2021 16:14:11;1,00
26/02/2021 16:14:13;5,00
26/02/2021 16:14:15;3,00
26/02/2021 16:14:17;14,00
26/02/2021 16:14:19;5,00
26/02/2021 16:14:21;4,00
26/02/2021 16:14:23;13,00
26/02/2021 16:14:27;4,00
26/02/2021 16:14:29;13,00
26/02/2021 16:14:31;0,00
26/02/2021 16:14:33;4,00
26/02/2021 16:14:35;9,00
26/02/2021 16:14:37;2,00
26/02/2021 16:14:39;11,00
26/02/2021 16:14:41;1,00
26/02/2021 16:14:43;7,00
