dd/MM/yyyy HH:mm:ss;CTC2E,16
26/02/2021 16:09:23;14,00
26/02/2021 16:09:25;0,00
26/02/2021 16:09:29;6,00
26/02/2021 16:09:31;5,00
26/02/2021 16:09:33;6,00
26/02/2021 16:09:35;8,00
26/02/2021 16:09:37;0,00
26/02/2021 16:09:39;13,00
26/02/2021 16:09:41;3,00
26/02/2021 16:09:43;1,00
26/02/2021 16:09:45;12,00
26/02/2021 16:09:47;1,00
26/02/2021 16:09:49;4,00
26/02/2021 16:09:51;9,00
26/02/2021 16:09:53;12,00
26/02/2021 16:09:55;3,00
26/02/2021 16:09:57;13,00
26/02/2021 16:09:59;2,00
26/02/2021 16:10:01;6,00
26/02/2021 16:10:03;13,00
26/02/2021 16:10:05;1,00
26/02/2021 16:10:07;4,00
26/02/2021 16:10:09;3,00
26/02/2021 16:10:11;9,00
26/02/2021 16:10:13;0,00
26/02/2021 16:10:15;12,00
26/02/2021 16:10:17;9,00
26/02/2021 16:10:19;4,00
26/02/2021 16:10:21;9,00
26/02/2021 16:10:23;7,00
26/02/2021 16:10:25;11,00
26/02/2021 16:10:27;8,00
26/02/2021 16:10:29;4,00
26/02/2021 16:10:31;3,00
26/02/2021 16:10:35;7,00
26/02/2021 16:10:37;8,00
26/02/2021 16:10:39;11,00
26/02/2021 16:10:41;14,00
26/02/2021 16:10:44;4,00
26/02/2021 16:10:46;11,00
26/02/2021 16:10:48;6,00
26/02/2021 16:10:50;9,00
26/02/2021 16:10:52;12,00
26/02/2021 16:10:54;0,00
26/02/2021 16:10:56;4,00
26/02/2021 16:10:58;1,00
26/02/2021 16:11:00;0,00
26/02/2021 16:11:02;2,00
26/02/2021 16:11:04;4,00
26/02/2021 16:11:08;11,00
26/02/2021 16:11:10;7,00
26/02/2021 16:11:12;13,00
26/02/2021 16:11:16;5,00
26/02/2021 16:11:18;6,00
26/02/2021 16:11:22;0,00
26/02/2021 16:11:24;8,00
26/02/2021 16:11:26;0,00
26/02/2021 16:11:28;12,00
26/02/2021 16:11:30;4,00
26/02/2021 16:11:32;8,00
26/02/2021 16:11:34;0,00
26/02/2021 16:11:36;2,00
26/02/2021 16:11:38;9,00
26/02/2021 16:11:40;8,00
26/02/2021 16:11:42;5,00
26/02/2021 16:11:46;6,00
26/02/2021 16:11:48;7,00
26/02/2021 16:11:50;13,00
26/02/2021 16:11:52;6,00
26/02/2021 16:11:54;0,00
26/02/2021 16:11:56;14,00
26/02/2021 16:11:58;10,00
26/02/2021 16:12:00;13,00
26/02/2021 16:12:04;14,00
26/02/2021 16:12:06;3,00
26/02/2021 16:12:08;14,00
26/02/2021 16:12:10;5,00
26/02/2021 16:12:12;13,00
26/02/2021 16:12:14;3,00
26/02/2021 16:12:16;10,00
26/02/2021 16:12:18;0,00
26/02/2021 16:12:20;4,00
26/02/2021 16:12:22;3,00
26/02/2021 16:12:24;9,00
26/02/2021 16:12:26;8,00
26/02/2021 16:12:28;5,00
26/02/2021 16:12:30;4,00
26/02/2021 16:12:32;10,00
26/02/2021 16:12:34;12,00
26/02/2021 16:12:36;14,00
26/02/2021 16:12:38;8,00
26/02/2021 16:12:40;3,00
26/02/2021 16:12:42;10,00
26/02/2021 16:12:44;12,00
26/02/2021 16:12:46;9,00
26/02/2021 16:12:48;3,00
26/02/2021 16:12:50;5,00
26/02/2021 16:12:52;4,00
26/02/2021 16:12:54;14,00
26/02/2021 16:12:56;9,00
26/02/2021 16:12:58;5,00
26/02/2021 16:13:00;11,00
26/02/2021 16:13:02;8,00
26/02/2021 16:13:04;6,00
26/02/2021 16:13:06;12,00
26/02/2021 16:13:08;7,00
26/02/2021 16:13:10;14,00
26/02/2021 16:13:14;12,00
26/02/2021 16:13:16;5,00
26/02/2021 16:13:18;4,00
26/02/2021 16:13:21;10,00
26/02/2021 16:13:22;5,00
26/02/2021 16:13:25;10,00
26/02/2021 16:13:27;3,00
26/02/2021 16:13:29;9,00
26/02/2021 16:13:31;2,00
26/02/2021 16:13:33;7,00
26/02/2021 16:13:35;1,00
26/02/2021 16:13:37;14,00
26/02/2021 16:13:41;1,00
26/02/2021 16:13:43;6,00
26/02/2021 16:13:45;13,00
26/02/2021 16:13:47;5,00
26/02/2021 16:13:51;6,00
26/02/2021 16:13:53;12,00
26/02/2021 16:13:55;9,00
26/02/2021 16:13:57;3,00
26/02/2021 16:13:59;11,00
26/02/2021 16:14:01;14,00
26/02/2021 16:14:03;8,00
26/02/2021 16:14:05;12,00
26/02/2021 16:14:07;10,00
26/02/2021 16:14:09;13,00
26/02/2021 16:14:11;3,00
26/02/2021 16:14:13;0,00
26/02/2021 16:14:15;11,00
26/02/2021 16:14:17;10,00
26/02/2021 16:14:19;4,00
26/02/2021 16:14:21;10,00
26/02/2021 16:14:23;12,00
26/02/2021 16:14:25;3,00
26/02/2021 16:14:27;11,00
26/02/2021 16:14:29;5,00
26/02/2021 16:14:33;3,00
26/02/2021 16:14:35;12,00
26/02/2021 16:14:37;3,00
26/02/2021 16:14:39;7,00
26/02/2021 16:14:41;8,00
26/02/2021 16:14:43;0,00
